"source_id","cluster_id","bookname","author"
"stratford books","0201853949","art of computer programming fascicle 3 generating all combinations and partitions","knuth, donald e."
"the book depository","0201853949","art of computer programming: v. 4","donald e knuth"
"englishbookservice.com gti gmbh","0201853949","art of computer programming, the: generating all combinations and partitions","knuth, donald e."
"revaluation books","0201853949","the art of computer programming, fascicle 3 generating all combinations and partitions","knuth, donald e."
"papamedia.com","0201853949","the art of computer programming, volume 4, fascicle 3 : generating all combinations and partitions (art of computer programming)","donald e. knuth"
"free u.s. air shipping @ thebookcompany","0201853949","the art of computer programming fascicle 3 : generating all combinations and partitions - v. 4","knuth, donald e."
"bobs books","0201853949","the art of computer programming, volume 4, fascicle 3: generating all combinations and partitions","knuth, donald e."
"a1books","0201853949","the art of computer programming, volume 4, fascicle 3: generating all combinations and partitions","knuth, donald e."
"revaluation books","0201853949","art of computer programming volume 4 fascicle 3 the:generating allcombinations and partitions","knuth, donald e."
"free u.s. air shipping @ thebookcompany","0201853949","the art of computer programming fascicle 3 : generating all combinations and partitions - v. 4","knuth, donald e."
"bobs books","0201853949","art of computer programming, volume 4, fascicle 3, the: generating all combinations and partitions","donald e. knuth john fuller"
"gunars store","0201853949","art of computer programming, volume 4, fascicle 3: generating all combinatio..","knuth"
"gunter koppon","0201853949","art of computer programming, volume 4, fascicle 3: generating all combinatio..","knuth"
"revaluation books","0201853949","the art of computer programming, volume 4, fascicle 3 - generating all combinations and partitions","donald e. knuth"
"bobs books","0201853949","art of computer programming fascicle 3","knuth, donald e."
"bobs books","0201853949","the art of computer programming, volume 4, fascicle 3: generating all","knuth"
"limelight bookshop","0201853949","art of computer programming: generating all combinations and partitions, vol. 3","knuth, donald ervin"
"mildredsbooks","0201853949","the art of computer programming, volume 4, fascicle 3 : generating all combinations and partitions (art of computer programming)","donald e. knuth"
"indoo.com","0321335708","the art of computer programming, volume 4, fascicle 4: generating all trees--history of combinatorial generation","knuth, donald e."
"best bargain books","0321335708","the art of computer programming, volume 4, fascicle 4: generating all trees--history of combinatorial generation (art of computer programming)","donald e. knuth"
"textbookxdotcom","0321335708","art of computer programming, fascicle 4, the: generating all trees - history of combinatorial generation","knuth, donald e."
"a1books","0321335708","the art of computer programming, volume 4, fascicle 4: generating all trees--history of combinatorial generation","knuth, donald e."
"caiman","0321335708","art of computer programming v0","knuth, donald ervin"
"movies with a smile","0321335708","the art of computer programming: generating all trees--history of combinatorial generation; volume 4","knuth, donald ervin"
"powell's books","0321335708","art of computer prog volume 4 fascicle 4","knuth, donald e"
"opoe-abe books","0321335708","art of computer programming,vol.4","knuth"
"paperbackworld.de","0321335708","the art of computer programming 4. fascicle 4","donald knuth"
"players quest","0321335708","the art of computer programming, volume 4, fascicle 4 : generating all trees--history of combinatorial generation (art of computer programming)","donald e. knuth"
"books down under","0321335708","the art of computer programming, volume 4, fascicle 4: generating all trees--history of combinatorial generation","donald e. knuth"
"books down under","0321335708","the art of computer programming, fascicle 4: generating all trees - history of combinatorial generation","knuth"
"marando.de versandbuchhandlung","0321335708","generating all trees","donald e. knuth"
"aha-buch","0321335708","generating all trees","donald e. knuth"
"thesaintbookstore","0321335708","the art of computer programming, volume 4, fascicle 4: generating all trees--history of combinatorial generation (art of computer programming)","knuth, donald e."
"versandantiquariat robert a. mueller","0321335708","the art of computer programming 4. fascicle 4 generating all trees - history of combinatorial generation","knuth"
"morgenstundt buch & kunst","0321335708","art of computer programming, fascicle 4, the: generating all trees - history of combinatorial generation","knuth, donald e."
"mellon's books","0321335708","art of computer programming, fascicle 4","knuth"
"thebookcom","0321335708","the art of computer programming, fascicle 4 : generating all trees - history of combinatorial generation","knuth, donald e."
"blackwell online","0321335708","the art of computer programming, fascicle 4","donald e. knuth"
"the book depository","0321335708","art of computer programming, fascicle 4","donald knuth"
"revaluation books","0321335708","the art of computer programming, fascicle 4 generating all trees -- history of combinatorial generation","knuth, donald e."
"englishbookservice.com gti gmbh","0321335708","art of computer programming, fascicle 4, the: generating all trees - history of combinatorial generation","knuth, donald e."
"revaluation books","0321335708","the art of computer programming volume 4 fascicle 4:generating all trees--history of combinatorial generation","knuth, donald e."
"free u.s. air shipping @ thebookcompany","0321335708","the art of computer programming, fascicle 4 : generating all trees - history of combinatorial generation","knuth, donald e."
"free u.s. air shipping @ thebookcompany","0321335708","the art of computer programming, fascicle 4 : generating all trees - history of combinatorial generation","knuth, donald e."
"gunter koppon","0321335708","art of computer programming, fascicle 4: generating all trees - history of com..","knuth, donald e"
"gunars store","0321335708","art of computer programming, fascicle 4: generating all trees - history of com..","knuth, donald e"
"bobs books","0321335708","the art of computer programming, volume 4, fascicle 4: generating all trees--history of combinatorial generation","donald e. knuth"
"bobs books","0321335708","the art of computer programming, fascicle 4: generating all trees - history of combinatorial generation","knuth"
"bobs books","0321335708","art of computer programming, fascicle 4","donald knuth"
"bobs books","0321335708","the art of computer programming, fascicle 4: generating all trees - hist","knuth, donald e"
"mildredsbooks","0321335708","the art of computer programming, volume 4, fascicle 4 : generating all trees--history of combinatorial generation (art of computer programming)","donald e. knuth"
"ecampus.com","0201853922","the art of computer programming, fascicle 1: mmix -- a risc computer for the new millennium","not available; knuth, donald ervin; a"
"powell's books","0201853922","art of computer prog fascicle 1 volume 1 mmi","knuth, donald e"
"indoo.com","0201853922","art of computer programming, volume 1, fascicle 1, the: mmix -- a risc computer for the new millennium","knuth, donald e."
"textbookxdotcom","0201853922","the 'art of computer programming, fascicle 1 mmix -- a risc computer for the new millennium",""
"a1books","0201853922","the art of computer programming, volume 1, fascicle 1: mmix -- a risc computer for the new millennium","knuth, donald e."
"paperbackworld.de","0201853922","the art of computer programming vol.1 fascicle 1","donald ervin knuth"
"thesaintbookstore","0201853922","the art of computer programming, volume 1, fascicle 1: mmix -- a risc computer for the new millennium (art of computer programming)","knuth, donald e."
"caiman","0201853922","art of computer programmin-v01","knuth, donald ervin"
"morgenstundt buch & kunst","0201853922","art of computer programming, the: mmix, a risc computer for the new millennium","knuth, donald e."
"versandantiquariat robert a. mueller","0201853922","the art of computer programming vol.1 fascicle 1 mmix - a risc computer for the new millennium","knuth, donald ervin"
"marando.de versandbuchhandlung","0201853922","mmix - a risc computer for the new millenium","donald e. knuth"
"aha-buch","0201853922","mmix - a risc computer for the new millenium","donald e. knuth"
"odeon books","0201853922","the art of computer programming, volume 1, fascicle 1: mmix -- a risc computer for the new millennium (art of computer programming)","donald e. knuth"
"powell's books","0201853922","art of computer prog fascicle 1 volume 1 mmi","knuth, donald e"
"books down under","0201853922","art of computer programming, volume 1, fascicle 1, the: mmix -- a risc computer for the new millennium","donald e. knuth john fuller"
"books down under","0201853922","the art of computer programming, fascicle 1: mmix - a risc computer for the new millennium","knuth, donald e."
"the book depository","0201853922","art of computer programming: v. 1","donald e knuth"
"revaluation books","0201853922","art of computer programming volume 1 fascicle 1 the:mmix -- a risc computer for the new millennium","knuth, donald e."
"revaluation books","0201853922","the art of computer programming volume 1 fascicle 1 mmix a risc computer for the new millennium","donald e. knuth"
"papamedia.com","0201853922","the art of computer programming, volume 1, fascicle 1 : mmix -- a risc computer for the new millennium (art of computer programming)","donald e. knuth"
"bobs books","0201853922","art of computer programming, volume 1, fascicle 1, the: mmix -- a risc computer for the new millennium","donald e. knuth john fuller"
"ashleyjohnson","0201853922","the art of computer programming, volume 1, fascicle 1 : mmix -- a risc computer for the new millennium (art of computer programming)","knuth, donald e."
"bobs books","0201853922","the art of computer programming, fascicle 1: mmix - a risc computer for the new millennium","knuth, donald e."
"gunars store","0201853922","art of computer programming, fascicle 1: mmix - a risc computer for the new mi..","knuth, donald"
"gunter koppon","0201853922","art of computer programming, fascicle 1: mmix - a risc computer for the new mi..","knuth, donald"
"bobs books","0201853922","art of computer programming: v. 1","donald e knuth"
"bobs books","0201853922","the art of computer programming, fascicle 1: mmix - a risc computer for","knuth, donald"
"mildredsbooks","0201853922","the art of computer programming, volume 1, fascicle 1 : mmix -- a risc computer for the new millennium (art of computer programming)","donald e. knuth"
"limelight bookshop","0201853922","the art of computer programming, volume 1, fascicle 1: mmix -- a risc computer for the new millennium","knuth, donald e."
"revaluation books","0201853922","the art of computer programming, volume 1, fascicle 1: mmix -- a risc computer for the new millennium (art of computer programming)","donald e. knuth"
"ecampus.com","0201853930","the art of computer programming, fascicle 2: generating all tuples and permutations","not available"
"best bargain books","0201853930","the art of computer programming, volume 4, fascicle 2: generating all tuples and permutations (art of computer programming)","donald e. knuth"
"indoo.com","0201853930","art of computer programming, volume 4, fascicle 2, the: generating all tuples and permutations","knuth, donald e."
"textbookxdotcom","0201853930","the art of computer programming, volume 4, fascicle 2: generating all tuples and permutations","knuth, donald"
"a1books","0201853930","the art of computer programming, volume 4, fascicle 2: generating all tuples and permutations","knuth, donald e."
"quartermelon","0201853930","art of computer programming combinatorial algorithms generating all tuples and permutations","knuth, donald e."
"browns books","0201853930","the the","knuth, donald e."
"swoop","0201853930","art of computer programming","knuth, donald e."
"caiman","0201853930","art of computer programming v4","knuth, donald ervin"
"paperbackworld.de","0201853930","the art of computer programming vol. 4 fascicle 2","donald ervin knuth"
"a1books","0201853930","the art of computer programming, volume 4, fascicle 2: generating all tuples and permutations","knuth, donald e."
"thebookcom","0201853930","the art of computer programming combinatorial algorithms : generating all tuples and permutations - v. 4, pt. 2","knuth, donald e."
"thesaintbookstore","0201853930","the art of computer programming, volume 4, fascicle 2: generating all tuples and permutations (art of computer programming)","knuth, donald e."
"movies with a smile","0201853930","the art of computer programming: fascicle 2: generating all tuples and permutations","knuth, donald ervin"
"mellon's books","0201853930","art of computer programming","knuth, donald e."
"thebookcom","0201853930","the art of computer programming combinatorial algorithms : generating all tuples and permutations - v. 4, pt. 2","knuth, donald e."
"versandantiquariat robert a. mueller","0201853930","the art of computer programming vol. 4 fascicle 2 generating all tuples and permutations","knuth, donald ervin"
"morgenstundt buch & kunst","0201853930","art of computer programming, the: generating all tuples and permutations","knuth, donald e."
"aha-buch","0201853930","generating all tuples and permutations","donald e. knuth"
"marando.de versandbuchhandlung","0201853930","generating all tuples and permutations","donald e. knuth"
"alphacraze.com","0201853930","the art of computer programming, volume 4, fascicle 2: generating all tuples and permutations (art of computer programming)","knuth, donald e."
"odeon books","0201853930","the art of computer programming, volume 4, fascicle 2: generating all tuples and permutations (art of computer programming)","donald e. knuth"
"alphacraze.com","0201853930","the art of computer programming, volume 4, fascicle 2: generating all tuples and permutations (art of computer programming)","knuth, donald e."
"books down under","0201853930","art of computer programming, volume 4, fascicle 2, the: generating all tuples and permutations","donald e. knuth john fuller"
"books down under","0201853930","the art of computer programming, fascicle 2: generating all tuples and permutations","knuth, donald e."
"blackwell online","0201853930","the art of computer programming","donald e. knuth"
"quartermelon","0201853930","the art of computer programming: fascicle 2: generating all tuples and permutations","knuth, donald ervin (author)"
"players quest","0201853930","the art of computer programming, volume 4, fascicle 2 : generating all tuples and permutations (art of computer programming)","donald e. knuth"
"the book depository","0201853930","art of computer programming: v. 4, pt. 2","donald e knuth"
"stratford books","0201853930","art of computer programming combinatorial algorithms generating all tuples and permutations","knuth, donald e."
"free u.s. air shipping @ thebookcompany","0201853930","the art of computer programming combinatorial algorithms : generating all tuples and permutations - v. 4, pt. 2","knuth, donald e."
"revaluation books","0201853930","art of computer programming volume 4 fascicle 2 the:generating all tuples and permutations","knuth, donald e."
"a1books","0201853930","the art of computer programming, volume 4, fascicle 2: generating all tuples and permutations","knuth, donald e."
"free u.s. air shipping @ thebookcompany","0201853930","the art of computer programming combinatorial algorithms : generating all tuples and permutations - v. 4, pt. 2","knuth, donald e."
"revaluation books","0201853930","the art of computer programming, fascicle 2 generating all tuples and permutations","knuth, donald e."
"revaluation books","0201853930","the art of computer programming, volume 4, fascicle 2 - generating all tuples and permutations","donald e. knuth"
"papamedia.com","0201853930","the art of computer programming, volume 4, fascicle 2 : generating all tuples and permutations (art of computer programming)","donald e. knuth"
"stratford books","0201853930","the art of computer programming: fascicle 2: generating all tuples and permutations","knuth, donald ervin (author)"
"bobs books","0201853930","art of computer programming, volume 4, fascicle 2, the: generating all tuples and permutations","donald e. knuth john fuller"
"bobs books","0201853930","the art of computer programming, fascicle 2: generating all tuples and permutations","knuth, donald e."
"gunars store","0201853930","art of computer programming, fascicle 2: generating all tuples and permutatio..","knuth, donald"
"gunter koppon","0201853930","art of computer programming, fascicle 2: generating all tuples and permutatio..","knuth, donald"
"bobs books","0201853930","art of computer programming combinatorial algorithms","knuth, donald e."
"bobs books","0201853930","art of computer programming: v. 4, pt. 2","donald e knuth"
"bobs books","0201853930","the art of computer programming, fascicle 2: generating all tuples and","knuth, donald"
"mildredsbooks","0201853930","the art of computer programming, volume 4, fascicle 2 : generating all tuples and permutations (art of computer programming)","donald e. knuth"
"limelight bookshop","0201853930","the art of computer programming, volume 4, fascicle 2: generating all tuples and permutations","knuth, donald e."
"mildredsbooks","0201853930","the art of computer programming, volume 4, fascicle 2 : generating all tuples and permutations (art of computer programming)","donald e. knuth"
"happybook","0201361213","algorithms in java: graph algorithms","sedgewick"
"ben artoge bookstore","0201361213","algorithms in c parts 5:graph algorithms,third editon","robert sedgewick"
"ben artoge bookstore","0201361213","algorithms in java parts 1-4,3c","robert sedgewick"
"schmidsche buchhandlung fachbuch","0201361213","algorithms in java","sedgewick"
"textbooksnow","0201361213","algorithms in java","sedgewick"
"caiman","0201361213","algorithms in java part 5 3/e","sedgewick"
"indoo.com","0201361213","algorithms in java, part 5: graph algorithms","sedgewick"
"odeon books","0201361213","graph algorithms, third edition (algorithms in java, part 5)","robert sedgewick, michael schidlowsky"
"powell's books","0201361213","algorithms in java 3ed part 5 graph algo","sedgewick"
"morgenstundt buch & kunst","0201361213","algorithms in java","sedgewick"
"versandantiquariat robert a. mueller","0201361213","algorithms in java part 5. graph algorithms.","sedgewick"
"paperbackworld.de","0201361213","algorithms in java part 5.","robert sedgewick"
"papamedia.com","0201361213","graph algorithms, third edition (algorithms in java, part 5)","robert sedgewick, michael schidlowsky"
"revaluation books","0201361213","algorithms in java part 5:graph algorithms","sedgewick"
"the book depository","0201361213","algorithms in java: pt.5","robert sedgewick"
"thesaintbookstore","0201361213","graph algorithms, third edition (algorithms in java, part 5)","sedgewick, robert; schidlowsky, michael"
"bobs books","0201361213","algorithms in java: pt.5","robert sedgewick"
"revaluation books","0201361213","algorithms in java: graph algorithms pt.5 (algorithms in java)","robert sedgewick"
"ben artoge bookstore","0201775786","algorithms in c parts 1-4:fundamentals,data structures,sorting,searching(third edition)","robert sedgewick"
"caiman","0201775786","prepak-algorithms in ja-3e-2cy","sedgewick, robert"
"odeon books","0201775786","bundle of algorithms in java, third edition (parts 1-5): fundamentals, data structures, sorting, searching, and graph algorithms, third edition","robert sedgewick"
"a1books","0201775786","bundle of algorithms in java, third edition, parts 1-5: fundamentals, data structures, sorting, searching, and graph algorithms","sedgewick, robert"
"papamedia.com","0201775786","bundle of algorithms in java, third edition (parts 1-5): fundamentals, data structures, sorting, searching, and graph algorithms, third edition","robert sedgewick"
"paperbackworld.de","0201775786","algorithms in java: parts 1-4; part 5","robert sedgewick"
"revaluation books","0201775786","algorithms in java fundamentals, data structures, sorting, searching, and graph algorithms","sedgewick, robert"
"technischer overseas pvt. ltd.","0201361205","algorithms in java. parts 1-4. 3/e","sedgewick"
"readmate","0201361205","algorithms in java, third edition (parts 1-4)","sedgewick, robert; schidlowsky, michael"
"the e","0201361205","algorithms in java: parts 1 -4 fundamentals data structures sorting searching","sedgewick"
"happybook","0201361205","algorithms in java, third edition (parts 1-4)","robert sedgewick, michael schidlowsky"
"enjoystudy","0201361205","algorithms in java, third edition (parts 1-4)","sedgewick, robert; schidlowsky, michael"
"textbooksnow","0201361205","algorithms in java","sedgewick"
"bookjoe","0201361205","algorithms in java, third edition (parts 1-4) [paperback] by robert sedgewick",""
"indoo.com","0201361205","algorithms in java, parts 1-4","sedgewick"
"a1books","0201361205","algorithms in java, parts 1-4","sedgewick"
"textbookxdotcom","0201361205","algorithms in java parts 1 -4 fundamentals data structures sorting searching","robert sedgewick"
"powell's books","0201361205","algorithms in java 3ed parts 1-4 fundame","sedgewick"
"htbook","0201361205","algorithms in java parts 1-4: fundamentals data structures sorting &amp; searching","robert sedgewick, michael schidlowsky"
"morgenstundt buch & kunst","0201361205","algorithms in java","sedgewick"
"versandantiquariat robert a. mueller","0201361205","algorithms in java.","sedgewick"
"paperbackworld.de","0201361205","algorithms in java.","robert sedgewick"
"caiman","0201361205","algorithms in java 3/e","sedgewick"
"bobs books","0201361205","algorithms java parts 1-4","sedgewick"
"books down under","0201361205","algorithms java parts 1-4","sedgewick"
"revaluation books","0201361205","algorithms in java parts 1-4","sedgewick"
"the book depository","0201361205","algorithms in java: pts.1-4","robert sedgewick"
"thesaintbookstore","0201361205","algorithms in java, third edition (parts 1-4)","sedgewick, robert; schidlowsky, michael"
"bobs books","0201361205","algorithms java parts 1-4","sedgewick"
"bobs books","0201361205","algorithms in java: pts.1-4","robert sedgewick"
"books down under","0201361205","algorithms in java, parts 1-4, 3e","john fuller robert sedgewick , princeton university"
"bobs books","0201361205","algorithms in java, parts 1-4, 3e","john fuller robert sedgewick , princeton university"
"gunter koppon","0201361205","algorithms java parts 1-4 cp","sedgewick"
"gunars store","0201361205","algorithms java parts 1-4 cp","sedgewick"
"sunmark store","0201756080","algorithms in c, parts 1-5 (bundle): fundamentals, data structures, sorting.","0"
"indoo.com","0201756080","algorithms in c, parts 1-5 (bundle): fundamentals, data structures, sorting, searching, and graph algorithms","sedgewick, robert"
"a1books","0201756080","algorithms in c, parts 1-5 (bundle): fundamentals, data structures, sorting, searching, and graph algorithms","sedgewick, robert"
"textbookxdotcom","0201756080","algorithms in c++","robert sedgewick"
"morgenstundt buch & kunst","0201756080","bundle of algorithms in c: fundermentals, data structures, sorting, searching, and graph algorithms",""
"versandantiquariat robert a. mueller","0201756080","bundle of algorithms in c. fundermentals, data structures, sorting, searching, and graph algorithms.","sedgewick, robert"
"marando.de versandbuchhandlung","0201756080","algorithms in c, 2 vols., engl. ed.","robert sedgewick"
"aha-buch","0201756080","algorithms in c, 2 vols., engl. ed.","robert sedgewick"
"caiman","0201756080","algorithms in c parts 1-5 (bun","sedgewick, robert"
"paperbackworld.de","0201756080","bundle of algorithms in c.","robert sedgewick"
"papamedia.com","0201756080","algorithms in c, parts 1-5 (bundle): fundamentals, data structures, sorting, searching, and graph algorithms (3rd edition)","robert sedgewick"
"englishbookservice.com gti gmbh","0201756080","bundle of algorithms in c: fundermentals, data structures, sorting, searching, and graph algorithms",""
"revaluation books","0201756080","algorithms in c","sedgewick, robert"
"softcoverdeal","020172684x","bundle of algorithms in c++, parts 1-4: fundamentals, data structures, sorting, searching, and graph algorithms (3rd edition)","robert sedgewick"
"books2anywhere.com","020172684x","algorithms in c++","sedgewick, robert"
"books2anywhere.com","020172684x","algorithms in c","sedgewick, robert"
"caiman","020172684x","algorithms in c++ parts 1-5 bu","sedgewick, robert"
"paperbackworld.de","020172684x","algorithms in c++.","robert sedgewick"
"a1books","020172684x","bundle of algorithms in c++, parts 1-5: fundamentals, data structures, sorting, searching, and graph algorithms","sedgewick, robert"
"paperbackshop-us","020172684x","algorithms in c++","sedgewick, robert"
"alphacraze.com","020172684x","bundle of algorithms in c++, parts 1-5: fundamentals, data structures, sorting, searching, and graph algorithms (3rd edition)","sedgewick, robert"
"alphacraze.com","020172684x","bundle of algorithms in c++, parts 1-5: fundamentals, data structures, sorting, searching, and graph algorithms (3rd edition)","sedgewick, robert"
"striped ostrich","020172684x","algorithms in c++","sedgewick, robert"
"blackwell online","020172684x","algorithms in c++","robert sedgewick"
"books2anywhere.com","020172684x","algorithms in c++","sedgewick, robert"
"books2anywhere.com","020172684x","algorithms in c","sedgewick, robert"
"books2anywhere.com","020172684x","algorithms in c++","sedgewick, robert"
"textbookxdotcom","020172684x","algorithms in c++","robert sedgewick"
"papamedia.com","020172684x","bundle of algorithms in c++, parts 1-5: fundamentals, data structures, sorting, searching, and graph algorithms (3rd edition)","robert sedgewick"
"revaluation books","020172684x","bundle of algorithms in c++ parts 1-5:fundamentals data structures sorting searching and graph algorithms","sedgewick, robert"
"quartermelon","020172684x","bundle of algorithms in c++, parts 1-5: fundamentals, data structures, sorting, searching, and graph algorithms","sedgewick, robert (author)"
"stratford books","020172684x","bundle of algorithms in c++, parts 1-5: fundamentals, data structures, sorting, searching, and graph algorithms","sedgewick, robert (author)"
"englishbookservice.com gti gmbh","020172684x","algorithms in c++","sedgewick, robert"
"revaluation books","020172684x","algorithms in c++","sedgewick, robert"
"deepak sachdeva","0201896842","art of computer programming, volume 2: seminumerical algorithms","knuth"
"ecampus.com","0201896842","the art of computer programming: seminumerical algorithms","knuth, donald ervin; knuth, donald"
"powell's books","0201896842","art of computer prog 3ed volume 2","knuth, donald e"
"flybookstore","0201896842","the art of computer programming: seminumerical algorithms","knuth, donald ervin; knuth, donald"
"bookmantra.com","0201896842","the art of computer programming - seminumerical algorithms","knuth, donald e.,"
"bookmantra.com","0201896842","the art of computer programming - seminumerical algorithms","knuth, donald e.,"
"opoe-abe books","0201896842","art of comp.prog.seminum.algorithms,v.2","knuth"
"a1books","0201896842","art of computer programming, volume 2: seminumerical algorithms","knuth, donald e."
"indoo.com","0201896842","art of computer programming, volume 2: seminumerical algorithms","knuth, donald e."
"bookmantra.com","0201896842","the art of computer programming - seminumerical algorithms","knuth, donald e.,"
"a1books","0201896842","art of computer programming, volume 2: seminumerical algorithms","knuth, donald e."
"textbookxdotcom","0201896842","the art of computer programming seminumerical algorithms (volume2)","donald knuth"
"caiman","0201896842","art of computer programming vo","knuth, donald ervin"
"movies with a smile","0201896842","art of computer programming, volume 2: seminumerical algorithms","knuth, donald ervin (preface by)"
"browns books","0201896842","the the","knuth, donald e."
"paperbackworld.de","0201896842","the art of computer programming 2. seminumerical algorithms.","donald ervin knuth"
"alphacraze.com","0201896842","art of computer programming, volume 2: seminumerical algorithms (3rd edition)","knuth, donald e."
"alphacraze.com","0201896842","art of computer programming, volume 2: seminumerical algorithms (3rd edition)","knuth, donald e."
"briggs books","0201896842","the art of computer programming: seminumerical algorithms. volume 2. updated and revised.","knuth, donald ervin; knuth, donald"
"versandantiquariat robert a. mueller","0201896842","the art of computer programming 2. seminumerical algorithms.","knuth, donald ervin"
"morgenstundt buch & kunst","0201896842","art of computer programming, the","knuth, donald e."
"aha-buch","0201896842","seminumerical algorithms","donald e. knuth"
"marando.de versandbuchhandlung","0201896842","seminumerical algorithms","donald e. knuth"
"players quest","0201896842","art of computer programming, volume 2: seminumerical algorithms (3rd edition)","donald e. knuth"
"textbookxdotcom","0201896842","the art of computer programming seminumerical algorithms (volume2)","donald knuth"
"quartermelon","0201896842","art of computer programming seminumerical algorithms","knuth, donald e."
"books2anywhere.com","0201896842","the art of computer programming","knuth, donald ervin/ knuth, donald"
"ashleyjohnson","0201896842","art of computer programming, volume 2: seminumerical algorithms (3rd edition)","knuth, donald e."
"papamedia.com","0201896842","art of computer programming, volume 2: seminumerical algorithms (3rd edition)","donald e. knuth"
"thebookcom","0201896842","the art of computer programming seminumerical algorithms - v. 2","knuth, donald e."
"mellon's books","0201896842","art of computer programming","knuth, donald e."
"stratford books","0201896842","art of computer programming seminumerical algorithms","knuth, donald e."
"books down under","0201896842","art comptr progrmmg v2:seminumrcl algorithm",""
"bobs books","0201896842","art comptr progrmmg v2:seminumrcl algorithm",""
"thebookcom","0201896842","the art of computer programming seminumerical algorithms - v. 2","knuth, donald e."
"blackwell online","0201896842","the art of computer programming","donald e. knuth"
"free u.s. air shipping @ thebookcompany","0201896842","the art of computer programming seminumerical algorithms - v. 2","knuth, donald e."
"a1books","0201896842","art of computer programming, volume 2: seminumerical algorithms","knuth, donald e."
"free u.s. air shipping @ thebookcompany","0201896842","the art of computer programming seminumerical algorithms - v. 2","knuth, donald e."
"the book depository","0201896842","art of computer programming: v. 2","donald e knuth"
"thesaintbookstore","0201896842","art of computer programming, volume 2: seminumerical algorithms (3rd edition)","knuth, donald e."
"revaluation books","0201896842","art of computer programming volume 2:seminumerical algorithms","knuth, donald e."
"englishbookservice.com gti gmbh","0201896842","art of computer programming, the","knuth, donald e."
"revaluation books","0201896842","the art of computer programming: seminumerical algorithms v. 2 (art of computer programming)","donald e. knuth"
"revaluation books","0201896842","the art of computer programming seminumerical algorithms","knuth, donald e."
"bobs books","0201896842","art of computer programming seminumerical algorithms","knuth, donald e. (professor emeritus of the art of computer prog"
"bobs books","0201896842","art of computer programming: v. 2","donald e knuth"
"oxfam bookshop hertford","0201896842","the art of computer programming","knuth, donald e."
"limelight bookshop","0201896842","the art of computer programming volume 2","knuth, donald ervin"
"gunter koppon","0201896842","art comptr progrmmg v2:seminumrcl algorithm","knuth"
"gunars store","0201896842","art comptr progrmmg v2:seminumrcl algorithm","knuth"
"deepak sachdeva","0201896850","art of computer programming, volume 3: sorting and searching","knuth"
"best bargain books","0201896850","art of computer programming, volume 3: sorting and searching (2nd edition)","donald e. knuth"
"ecampus.com","0201896850","the art of computer programming: sorting and searching","knuth, donald ervin; knuth, donald"
"indoo.com","0201896850","art of computer programming, volume 3: sorting and searching","knuth, donald e."
"a1books","0201896850","art of computer programming, volume 3: sorting and searching","knuth, donald e."
"textbookxdotcom","0201896850","the art of computer programming sorting and searching (volume3)","donald knuth"
"sunmark store","0201896850","art of computer programming, volume 3: sorting and searching (2nd edition.","0"
"powell's books","0201896850","art of computer prog 2nd edition volume 3","knuth, donald e"
"browns books","0201896850","the the","knuth, donald e."
