genre,year,actors,movie_name,directors,id,duration
"Action, Adventure, Drama, Foreign, Science Fiction, Thriller",2007.0,"Clive Owen,Julianne Moore,Michael Caine,Chiwetel Ejiofor,Clare-Hope Ashitey,Pam Ferris",Children of Men,Alfonso Cuaron,24,109 minutes
"Comedy, Drama, Romance",2007.0,"Morgan Freeman,Jane Alexander,Greg Kinnear,Selma Blair,Radha Mitchell,Stana Katic,Fred Ward,Alexa Davalos,Billy Burke,Sherilyn Lawson",Feast of Love,Robert Benton,25,101 minutes
"Action, Adventure, Drama",2007.0,"Emile Hirsch,Vince Vaughn,Catherine Keener,Brian Dierker,Hal Holbrook,Marcia Gay Harden,William Hurt,Kristen Stewart,Jena Malone",Into the Wild,,26,148 minutes
Comedy,1940.0,"Chaplin,Jack Oakie,Paulette Goddard,Reginald Gardiner",The Great Dictator,,27,125 minutes
"Adventure, Comedy, Drama",2007.0,"Owen Wilson,Adrien Brody,Jason Schwartzman,Amara Karan,Camilla Rutherford,Wally Wolodarsky,Waris Ahluwalia,Barbet Schroeder,Irfan Khan,Bill Murray,Anjelica Huston,Natalie Portman",The Darjeeling Limited,,28,91 minutes
"Comedy, Indie, Romance",2007.0,"Jeff Garlin,Bonnie Hunt,Sarah Silverman,Amy Sedaris,Joey Slotnick,Gina Gershon,Paul Mazursky,Mina Kolb,Richard Kind,Dan Castellaneta,Tim Kazurinsky,Steve Dahl",I Want Someone to Eat Cheese With,,29,
"Drama, Mystery, Thriller",2007.0,"George Clooney,Sean Cullen,Tom Wilkinson,Tilda Swinton,Sydney Pollack,Michael O'Keefe,Ken Howard,Denis O'Hare",Michael Clayton,,30,119 minutes
"Action, Drama, Foreign, Indie, Romance, Thriller",2007.0,"Tony Leung,Joan Chen,Tang Wei,Chu Tsz-ying,Wang Lee Hom","Lust, Caution",Ang Lee,31,156 minutes
"Comedy, Romance",2007.0,"Ben Stiller,Malin Akerman,Michelle Monaghan,Jerry Stiller,Rob Corddry,Carlos Mencia,Kathy Lamkin",The Heartbreak Kid,"Bobby,Peter Farrelly",32,116 minutes
"Action, Drama, Western",2007.0,"Brad Pitt,Casey Affleck,Sam Shepard,Mary-Louise Parker,Paul Schneider,Jeremy Renner,Garret Dillahunt,Zooey Deschanel,Michael Parks,Ted Levine,Sam Rockwell,Alison Elliott,James Carville,Tom Aldredge,Kailin See,Hugh Ross",The Assassination of Jesse James by the Coward Robert Ford,,33,160 minutes
"Action, Drama",2007.0,"Joaquin Phoenix,Mark Wahlberg,Robert Duvall,Eva Mendes,Tony Musante,Moni Moshonov,Alex Veadov",We Own the Night,,34,117 minutes
"Action, Adventure, Drama, Foreign, Western",1970.0,"Alejandro Jodorowsky,Brontis Jodorowsky,Jose Legarreta,Alfonso Arau",El Topo,,35,125 minutes
"Drama, Foreign, History, Romance",2007.0,"Cate Blanchett,Geoffrey Rush,Clive Owen,Samantha Morton,Rhys Ifans,Abbie Cornish,Jordi Molla",Elizabeth: The Golden Age,Shekhar Kapur,36,114 minutes
Thriller,2007.0,"Michael Caine,Jude Law,Alec Cawthorne,Eve Channing",Sleuth,Kenneth Branagh,37,86 minutes
Documentary,2007.0,"Natalie Maines,Emily Robison,Martie McGuire,Simon Renshaw",Shut Up and Sing,"Barbara Kopple,Cecilia Peck",38,93 minutes
"Drama, Indie, Romance",2006.0,"Julie Christie,Gordon Pinsent,Olympia Dukakis,Michael Murphy,Kristen Thomson,Wendy Crewson,Alberta Watso",Away from Her,,39,110 minutes
"Drama, Indie",2007.0,"Joe Pantoliano,Marcia Gay Harden,Devon Gearhart,Sophia Bairley",Canvas,,40,101 minutes
"Drama, Mystery, Thriller",2007.0,"Jake Gyllenhaal,Reese Witherspoon,Omar Metwally,Meryl Streep,Alan Arkin,Peter Sarsgaard",Rendition,Gavin Hood,41,120 minutes
"Comedy, Indie, Romance",2007.0,"Ryan Gosling,Emily Mortimer,Paul Schneider,Patricia Clarkson,Kelli Garner,Lauren Ash,Nancy Beatty",Lars and the Real Girl,Craig Gillespie,42,106 minutes
"Action, Horror, Thriller",2007.0,"Josh Hartnett,Danny Huston,Ben Foster,Melissa George,Manu Bennett",30 Days of Night,David Slade,43,113 minutes
"Drama, Foreign, Horror, Thriller",2007.0,"Heather Graham,Jeremy Sisto,Jake Busey,Tess Harper,Linda Hamilton,Chad Cunningham",Broken,Alan White,44,97 minutes
Drama,2007.0,"Halle Berry,Benicio Del Toro,David Duchovny,Alison Lohman,Omar Benson Miller,John Carroll Lynch",Things We Lost in the Fire,Susanne Bier,45,113 minutes
"Crime, Drama, Mystery, Thriller",2007.0,"Casey Affleck,Michelle Monaghan,Morgan Freeman,Ed Harris,John Ashton,Amy Ryan,Amy Madigan,Titus Welliver",Gone Baby Gone,Ben Affleck,46,114 minutes
"Adventure, Drama, Music, Romance",2007.0,"Jim Sturgess,Joe Anderson,Dana Fuchs,T.V. Carpio,Bono,Eddie Izzard,Martin Luther McCoy",Across the Universe,Julie Taymor,47,133 minutes
"Crime, Drama, Mystery, Thriller",2007.0,"Tommy Lee Jones,Charlize Theron,Jason Patric,Susan Sarandon,Jonathan Tucker,James Franco",In the Valley of Elah,Paul Haggis,48,124 minutes
"Drama, Foreign, Romance",2007.0,"Daniel Radcliffe,Lee Cormie,Christian Byers,James Fraser,Teresa Palmer,Victoria Hill",December Boys,Rod Hardy,49,105 minutes
"Comedy, Drama, Fantasy, Romance",2007.0,"Dane Cook,Jessica Alba,Dan Fogler,Michelle Harrison,Ellia English,Sasha Pieterse",Good Luck Chuck,Mark Helfrich,50,101 minutes
"Action, Drama, Foreign, Thriller",2007.0,"Ulrich Muehe,Sebastian Koch,Martina Gedeck,Ulrich Tukur,Thomas Thieme,Hans Uwe Bauer",The Lives of Others,,51,137 minutes
"Drama, Indie",2006.0,,Babel,Alejandro Gonzalez Inarritu,52,143 minutes
"Comedy, Drama, Indie, Romance",2007.0,"Billy Crudup,Mandy Moore,Tom Wilkinson,Martin Freeman,Bob Balaban,Dianne Wiest,Bobby Cannavale,Amy Sedaris,Peter Bogdanovich",Dedication,Justin Theroux,53,95 minutes
"Comedy, Drama, Romance",2007.0,"Kathy Baker,Maria Bello,Emily Blunt,Amy Brenneman,Hugh Dancy,Maggie Grace,Lynn Redgrave,Jimmy Smits,Nancy Travis",Jane Austen Book Club,,54,106 minutes
"Comedy, Indie",2007.0,"Michael Douglas,Evan Rachel Wood,Willis Burks II,Greg Davis Jr.,Gerald Emerick",King of California,,55,96 minutes
"Adventure, Family, Fantasy, Science Fiction",2007.0,"Daniel Radcliffe,Rupert Grint,Emma Watson,Maggie Smith,Michael Gambon,Alan Rickman,Imelda Staunton,Helena Bonham-Carter,Robbie Coltrane,Ralph Fiennes,Gary Oldman,Brendan Gleeson,Richard Griffiths,Jason Isaacs",Harry Potter and the Order of the Phoenix,David Yates,56,138 minutes
"Drama, Foreign, History",1914.0,,Cabiria,Giovanni Pastrone,57,148 minutes
Comedy,2006.0,"Meryl Streep,Anne Hathaway,Emily Blunt,Stanley Tucci,Adrian Grenier,Tracie Thoms,Simon Baker",The Devil Wears Prada,David Frankel,58,109 minutes
"Comedy, Romance",2006.0,"Owen Wilson,Matt Dillon,Kate Hudson,Michael Douglas,Amanda Detmer,Seth Rogen","You, Me and Dupree","Anthony Russo,Joe Russo",59,108 minutes
"Comedy, Drama, Fantasy, Horror, Mystery, Science Fiction, Thriller",2006.0,"Paul Giamatti,Bryce Dallas Howard,Jeffrey Wright,Bob Balaban,M. Night Shyamalan,Cindy Cheung",Lady in the Water,,60,110 minutes
"Comedy, Family, Romance",2006.0,"Jesse Metcalfe,Brittany Snow,Ashanti,Sophia Bush,Arrielle Kebbel,Penn Badgley,Jenny McCarthy,Fatso-Fasano",John Tucker Must Die,Betty Thomas,61,89 minutes
"Comedy, Drama, Foreign, Mystery, Romance, Science Fiction, Thriller",2006.0,,Scoop,,62,96 minutes
"Action, Comedy",2005.0,"Will Ferrell,John C. Reilly,Sacha Baron Cohen,Gary Cole,Michael Clarke Duncan,Leslie Bibb,Jane Lynch,Amy Adams,Andy Richter,Molly Shannon",Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,63,108 minutes
"Adventure, Foreign, Horror",2006.0,"Shauna Macdonald,Natalie Mendoza,Alex Reid,Saskia Mulder,MyAnna Buring,Nora-Jane Noone",The Descent,,64,99 minutes
"Comedy, Drama, Indie",2006.0,"Greg Kinnear,Steve Carell,Toni Collette,Alan Arkin,Abigail Breslin,Paul Dano",Little Miss Sunshine,"Jonathan Dayton,Valerie Farris",65,102 minutes
"Drama, Indie, Thriller",2006.0,"Robin Williams,Toni Collette,Rory Culkin,Sandra Oh",The Night Listener,Patrick Stettner,66,91 minutes
"Action, Disaster, Drama, History",2006.0,"Nicolas Cage,Maria Bello,Michael Pena,Maggie Gyllenhaal,Stephen Dorff,Jay Hernandez,Patti D'Arbanville",World Trade Center,Oliver Stone,67,128 minutes
Drama,2006.0,"Emily Rios,Jesse Garcia,Chalo Gonzalez,David W. Ross,J.R. Cruz,Araceli Guzman-Rico,Jesus Castanos-Chima,Johnny Chavez,Alicia Sixtos",Quinceañera,,68,
"Drama, Fantasy, Romance, Thriller",2006.0,"Edward Norton,Paul Giamatti,Jessica Biel",The Illusionist,,69,110 minutes
"Comedy, Drama, Indie, Romance",2006.0,"Joseph Bologna,Dyan Cannon,Len Cariou,Sally Kellerman,Michael Nouri,Brenda Vaccaro,Renee Taylor",Boynton Beach Club,Susan Seidelman,70,105 minutes
"Drama, History, Romance",2006.0,"Kirsten Dunst,Jason Schwartzman,Judy Davis,Rip Torn,Rose Byrne,Asia Argento,Molly Shannon,Shirley Henderson",Marie Antoinette,,71,123 minutes
"Comedy, Drama, Indie, Romance",2006.0,"Matt Dillon,Lili Taylor,Marisa Tomei,Fisher Stevens,Didier Flamand",Factotum,Bent Hamer,72,94 minutes
"Action, Adventure, Drama, History, Indie",2007.0,"Christian Bale,Steve Zahn,Jeremy Davies,Zach Grenier",Rescue Dawn,,73,126 minutes
"Comedy, Drama, Indie, Romance",2006.0,"Helena Bonham-Carter,Aaron Eckhart,Nora Zehetner,Erik Eidem,Olivia Wilde,Thomas Lennon,Cerina Vincent,Brianna Brown,Brian Geraghty",Conversations with Other Women,,74,84 minutes
"Drama, Indie",2006.0,"Ryan Gosling,Shareeka Epps,Anthony Mackie,Karen Chilton",Half Nelson,Ryan Fleck,75,107 minutes
Documentary,2006.0,,This Film Is Not Yet Rated,Kirby Dick,76,97 minutes
"Comedy, Drama, Fantasy, Foreign, Romance, Science Fiction",2006.0,"Gael Garcia Bernal,Charlotte Gainsbourg,Alain Chabat,Miou-Miou,Pierre Vaneck",The Science of Sleep,,77,105 minutes
"Documentary, Indie, Music",2006.0,,The U.S. vs. John Lennon,,78,99 minutes
"Drama, Indie, Romance",2006.0,"Sook-Yin Lee,Paul Dawson,PJ DeBoy,Raphael Barker,Peter Stickles,Jay Brannan",Shortbus,,79,101 minutes
"Drama, Foreign",2006.0,"Helen Mirren,Michael Sheen,James Cromwell,Sylvia Syms,Paul Barrett,Helen McCrory",The Queen,Stephen Frears,80,103 minutes
"Comedy, Drama, Indie, Romance",2006.0,"Kate Winslet,Jennifer Connelly,Patrick Wilson,Jackie Earle Haley,Noah Emmerich,Gregg Edelman",Little Children,Todd Field,81,136 minutes
Drama,2006.0,"Toby Jones,Sandra Bullock,Daniel Craig,Lee Pace,Juliet Stevenson,Sigourney Weaver,Jeff Daniels,Peter Bogdanovich,Hope Davis,Gwyneth Paltrow,Isabella Rossellini",Infamous,Douglas McGrath,82,110 minutes
"Drama, Indie",2006.0,"Ahmad Razvi,Leticia Dolera,Charles Daniel Sandoval,Ali Reza",Man Push Cart,,83,87 minutes
Documentary,2006.0,,The Bridge,Eric Steel,84,93 minutes
"Drama, Indie",2006.0,"Will Oldham,Daniel London,Tanya Smith",Old Joy,Kelly Reichart,85,73 minutes
"Documentary, Foreign",2006.0,,49 Up,Michael Apted,86,180 minutes
"Comedy, Drama, Fantasy, Romance, Science Fiction",2006.0,"Will Ferrell,Emma Thompson,Maggie Gyllenhaal,Dustin Hoffman,Queen Latifah,Linda Hunt",Stranger Than Fiction,Marc Forster,87,113 minutes
Comedy,2006.0,"Sacha Baron Cohen,Ken Vavitian,Herself",Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Larry Charles,88,82 minutes
Documentary,2006.0,,51 Birch Street,Doug Block,89,90 minutes
"Drama, Mystery, Romance",2006.0,"Nicole Kidman,Robert Downey Jr.,Ty Burrell",Fur: An Imaginary Portrait of Diane Arbus,Steven Shainberg,90,122 minutes
"Comedy, Documentary, Drama",2006.0,"Catherine O'Hara,Harry Shearer,Bob Balaban,Ricky Gervais,Christopher Guest,Eugene Levy,Michael McKean,Parker Posey,Fred Willard",For Your Consideration,Christopher Guest,91,86 minutes
"Documentary, History",2006.0,,Jonestown: The Life and Death of Peoples Temple,Stanley Nelson,92,86 minutes
"Comedy, Drama, Foreign, Romance",2006.0,"Penelope Cruz,Carmen Maura,Lola Duenas,Blanca Portillo,Yohana Cobo",Volver,,93,121 minutes
"Action, Drama, Thriller",2006.0,"Matt Damon,Angelina Jolie,Alec Baldwin,Billy Crudup,Robert De Niro,Keir Dullea",The Good Shepherd,Robert De Niro,94,167 minutes
"Drama, Fantasy, Foreign",2007.0,"Ben Whishaw,Dustin Hoffman,Alan Rickman,John Hurt,Rachel Hurd-Wood,Karoline Herfurth,David Calder",Perfume: The Story of a Murderer,Tom Tykwer,95,147 minutes
"Action, Adventure, Drama, Foreign, War",2007.0,"Ken Watanabe,Kazunari Ninomiya,Tsuyoshi Ihara,Ryo Kase,Shidou Nakamura",Letters from Iwo Jima,Clint Eastwood,96,141 minutes
"Drama, Indie, Mystery, Thriller",2007.0,"Laura Dern,Jeremy Irons,Harry Dean Stanton,Justin Theroux,Peter J. Lucas",Inland Empire,,97,172 minutes
"Action, Drama, Foreign, Romance, Western",2007.0,"Chartchai Ngamsan,Stella Malucchi,Suwinit Panjamawat,Supakorn Kitsuwon,Arawat Ruangvuth,Sombati Medhanee",Tears of the Black Tiger,,98,110 minutes
"Drama, Foreign, Indie, Romance",2007.0,"Ebru Ceylan,Nuri Bilge Ceylan,Nazan Kirilmis,Mehmet Eryilmaz,Arif Asci",Climates,,99,101 minutes
,2007.0,"Jamel Debbouze,Samy Naceri,Roschdy Zem,Sami Bouajila,Bernard Blancan",Days of Glory,Rachid Bouchareb,100,
"Drama, Indie",2007.0,"Samuel L. Jackson,Christina Ricci,John Cothran Jr.,Justin Timberlake,S. Epatha Merkerson",Black Snake Moan,,101,116 minutes
Documentary,2007.0,,An Unreasonable Man,,102,122 minutes
"Drama, Foreign, Romance",2007.0,"Jude Law,Juliette Binoche,Robin Wright Penn,Vera Farmiga,Rafi Gavron,Poppy Rogers",Breaking and Entering,,103,129 minutes
"Comedy, Drama, Foreign, Horror",2007.0,"Song Kang-Ho,Byun Hee-Bong,Park Hae-Il,KoA-Sung,Bae Doo-Na,Scott Wilson",The Host,Bong Joon-ho,104,119 minutes
"Action, Comedy, Crime, Drama, Foreign",2007.0,,Mafioso,,105,105 minutes
"Drama, Musical",2007.0,"Don Cheadle,Chiwetel Ejiofor,Mike Epps,Martin Sheen,Vondie Curtis-Hall",Talk to Me,Kasi Lemmons,106,118 minutes
"Comedy, Drama, Fantasy",1971.0,"Milena Dravic,Jagoda Kaloper,Ivica Vidovic,Zoran Radmilovic,Tuli Kupferberg,Jackie Curtis,Michael Gelovani",WR: Mysteries of the Organism,,107,84 minutes
"Adventure, Foreign, Science Fiction, Thriller",2007.0,"Michelle Yeoh,Cillian Murphy,Chris Evans,Troy Garity,Rose Byrne,Cliff Curtis,Benedict Wong,Hiroyuki Sanada",Sunshine,Danny Boyle,108,107 minutes
"Drama, Indie",2007.0,"Steve Buscemi,Sienna Miller,Tara Elders,Molly Griffith",Interview,Steve Buscemi,109,100 minutes
Drama,2007.0,"Javier Bardem,Natalie Portman,Stellan Skarsgard,Randy Quaid,Jose Luis Gomez,Michael Lonsdale,Blanca Portillo",Goya's Ghosts,Milos Forman,110,114 minutes
"Comedy, Music",2007.0,"Nikki Blonsky,John Travolta,Michelle Pfeiffer,Christopher Walken,Amanda Bynes,James Marsden,Queen Latifah,Zac Efron,Jerry Stiller",Hairspray,Adam Shankman,111,115 minutes
"Comedy, Drama, Foreign, Romance",2007.0,"Sean Biggerstaff,Emilia Fox,Shaun Evans,Michelle Ryan,Stuart Goodwin,Michael Dixon,Michael Lambourne,Marc Pickering",Cashback,,112,102 minutes
"Comedy, Drama, Indie, Romance",2007.0,"Parker Posey,Melvil Poupaud,Drea de Matteo,Justin Theroux,Josh Hamilton,Tim Guinee,Gena Rowlands,Peter Bogdanovich,Roy Thinnes",Broken English,,113,97 minutes
"Comedy, Drama, Foreign, Indie",2007.0,"Daniel Auteuil,Dany Boon,Julie Gayet,Julie Durand,Henri Garcin",My Best Friend,Patrice Leconte,114,90 minutes
"Drama, Foreign, Indie, Music",2007.0,"Julika Jenkins,Urs Jucker,Bruno Ganz,Eleni Haupt",Vitus,Fredi M. Murer,115,100 minutes
"Animation, Comedy, Family",2007.0,"Dan Castellaneta,Julie Kavner,Nancy Cartwright,Yeardley Smith,Hank Azaria,Harry Shearer,Kelsey Grammer,Joe Mantegna",The Simpsons Movie,David Silverman,116,87 minutes
"Comedy, Drama, Romance",2007.0,"Catherine Zeta-Jones,Aaron Eckhart,Abigail Breslin,Patricia Clarkson,Bob Balaban,Brian F. O'Byrne",No Reservations,Scott Hicks,117,104 minutes
"Drama, Indie",1977.0,"Henry Gayle Sanders,Kaycee Moore",Killer of Sheep,,118,83 minutes
"Action, Comedy",2007.0,"Andy Samberg,Jorma Taccone,Isla Fisher,Bill Hader,Ian McShane,Sissy Spacek,Will Arnett,Danny McBride",Hot Rod,Akiva Schaffer,119,88 minutes
"Drama, Music",2007.0,"Marc Anthony,Jennifer Lopez,John Ortiz,Manny Perez,Federico Castelluccio,Nelson Vasquez",El Cantante,Leon Ichaso,120,116 minutes
"Documentary, Family",2007.0,,Arctic Tale,Sarah Robertson,121,86 minutes
Documentary,2007.0,,The Real Dirt on Farmer John,,122,82 minutes
"Drama, Romance",2007.0,"Anne Hathaway,James McAvoy,Julie Walters,James Cromwell,Maggie Smith,Joe Anderson",Becoming Jane,Julian Jarrold,123,120 minutes
"Action, Adventure, Comedy, Family, Fantasy, Foreign, Romance, Science Fiction",2007.0,"Claire Danes,Charlie Cox,Robert De Niro,Sienna Miller,Michelle Pfeiffer,Jason Flemyng,Peter O'Toole,Rupert Everett,Ian McKellen",Stardust,Matthew Vaughn,124,127 minutes
"Action, Drama, Foreign, History",2007.0,"Cillian Murphy,Padraic Delaney,Liam Cunningham,Orla Fitzgerald,Gerard Kearney,William Ruane",The Wind That Shakes the Barley,Ken Loach,125,124 minutes
"Comedy, Drama",2007.0,"John Malkovich,Jim Davidson,Richard E. Grant,William Hootkins,Marisa Berenson,Robert Powell,Ken Russell",Color Me Kubrick,Brian W. Cook,126,86 minutes
"Documentary, Foreign",2007.0,,Into Great Silence,,127,76 minutes
,2007.0,,Walking to Werner,,128,
"Drama, Foreign, Indie, Thriller",2007.0,"Kate Dickie,Tony Curran,Martin Compston,Nathalie Press,Andrew Armour,John Comerford",Red Road,,129,108 minutes
"Action, Drama, Mystery, Thriller",2007.0,"Matt Damon,Julia Stiles,David Strathairn,Joan Allen",The Bourne Ultimatum,Paul Greengrass,130,115 minutes
"Action, Adventure, Comedy, Crime, Thriller",2007.0,"Jackie Chan,Chris Tucker,Max von Sydow,Yvan Attal,Dana Ivey,Roman Polanski",Rush Hour 3,Brett Ratner,131,91 minutes
"Crime, Drama, Foreign, Indie",2007.0,"Thomas Turgoose,Joe Gilgun,Stephen Graham,Andrew Shim,Jo Hartley",This is England,,132,101 minutes
"Action, Comedy, Drama, Thriller",2007.0,"Parker Posey,Jeff Goldblum,James Urbaniak,Saffron Burrows,Thomas Jay Ryan",Fay Grim,,133,118 minutes
"Adventure, Animation, Comedy, Family, Fantasy, Science Fiction",2007.0,"Mike Myers,Eddie Murphy,Cameron Diaz,Antonio Banderas,Justin Timberlake,John Cleese,Julie Andrews,Rupert Everett",Shrek the Third,Chris Miller,134,93 minutes
"Drama, Fantasy, Indie",2007.0,"Gretchen Krich,Sullivan Brown,Maya Lawson,Katherine E. Scharhon,Todd Moore,Andy Loviska,Kellan Larson,Erik Steffen Maahs",Brand Upon the Brain!,Guy Maddin,135,95 minutes
"Horror, Indie, Thriller",2007.0,"Ashley Judd,Michael Shannon,Brian F. O'Byrne,Harry Connick Jr.",Bug,William Friedkin,136,102 minutes
"Comedy, Foreign, Horror",2007.0,"Nathan Meister,Peter Feeney,Danielle Mason,Oliver Driver,Tammy Davis",Black Sheep,,137,87 minutes
"Comedy, Drama, Fantasy",2007.0,"Jamel Debbouze,Rie Rasmussen,Gilbert Melki,Serge Riaboukine",Angel-A,,138,91 minutes
"Drama, Indie",2007.0,"Amber Tamblyn,Tilda Swinton,Timothy Hutton,Denis O'Hare,Jim Gaffigan,Melissa Leo",Stephanie Daley,,139,92 minutes
"Documentary, Romance",2007.0,,Crazy Love,"Dan Klores,Fisher Stevens",140,92 minutes
"Drama, Foreign, Musical",2007.0,"Marion Cotillard,Clotilde Courau,Jean Paul Rouve,Sylvie Testud,Pascal Greggory,Jean Pierre Martins,Emmanuelle Seigner,Gerard Depardieu,Catherine Allegret,Caroline Silhol",La Vie en Rose,Olivier Dahan,141,140 minutes
"Action, Comedy, Crime",2007.0,"George Clooney,Brad Pitt,Matt Damon,Ellen Barkin,Elliott Gould,Al Pacino,Bernie Mac,Don Cheadle,Andy Garcia",Ocean's Thirteen,Steven Soderbergh,142,122 minutes
"Action, Comedy, Crime, Thriller",2007.0,"Ben Kingsley,Tea Leoni,Luke Wilson,Bill Pullman,Dennis Farina",You Kill Me,John Dahl,143,90 minutes
"Drama, Indie, Thriller",2007.0,"Angelina Jolie,Dan Futterman,Will Patton,Denis O'Hare,Archie Panjabi",A Mighty Heart,Michael Winterbottom,144,100 minutes
Documentary,2007.0,,Sicko,,145,123 minutes
"Action, Thriller",2007.0,,Live Free or Die Hard,,146,128 minutes
"Drama, Foreign",2007.0,"Fatoumata Coulibaly,Maimouna Helene Diarra,Salimata Traore,Dominique Zeida,Mah Compaore",Moolaade,,147,124 minutes
"Drama, Romance",2007.0,"Vanessa Redgrave,Claire Danes,Natasha Richardson,Toni Collette,Mamie Gummer,Meryl Streep,Glenn Close,Hugh Dancy",Evening,Lajos Koltai,148,130 minutes
"Drama, Foreign, Indie, Romance",2007.0,"Marina Hands,Jean-Louis Coullo'ch,Hippolyte Girardot,Helene Alexandridis,Helene Fillieres,Bernard Verley,Sava Lolov",Lady Chatterley,Pascale Ferran,149,167 minutes
"Action, Adventure, Science Fiction, Thriller",2007.0,"Shia LaBeouf,Tyrese Gibson,Josh Duhamel,Anthony Anderson,Megan Fox,Rachael Taylor,John Turturro,Jon Voight",Transformers,Michael Bay,150,144 minutes
"Action, Drama, Thriller",2007.0,"Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,Martin Sheen,Ray Winstone,Vera Farmiga,Anthony Anderson,Alec Baldwin",The Departed,Martin Scorsese,151,151 minutes
"Action, Drama, Foreign",2006.0,"Duo Bujie,Lei Zhang,Liang Qi,Xueying Zhao",Mountain Patrol: Kekexili,,152,85 minutes
