ltable_id,rtable_id,gold
1880,5724,0
1881,5726,0
1883,5729,0
1884,5731,0
1885,5731,0
1887,5734,0
1888,5739,0
1892,5750,0
1900,5784,0
1911,5806,0
1918,5827,0
1920,5831,0
1926,5837,0
1927,5838,0
1930,5841,0
1931,5842,0
1932,5843,0
1935,5845,0
1939,5847,0
1948,5861,0
1949,5865,0
1957,5871,0
1958,5872,0
1972,5894,0
1977,5901,0
1980,5904,0
1981,5905,0
1982,5905,0
1983,5911,0
1984,5912,0
1985,5912,0
1986,5912,0
1987,5912,0
1997,5939,0
1998,5943,0
1999,5943,0
2000,5943,0
2001,5944,0
2002,5946,0
2024,5975,0
2025,5975,0
2026,5975,0
2032,5997,0
2033,6000,0
2034,6008,0
2036,6009,0
2037,6011,0
2039,6028,0
2040,6029,0
2048,6038,0
2049,6041,0
2050,6042,0
