"genre","year","actors","movie_name","directors","id","duration"
"Action, Comedy, Horror","2015","Elke Berry, Mick Preston, Jenna Dwyer","Fight Like a Girl","Daniel Armstrong",25,"90 min "
"Action, Comedy, Horror","2015","Elke Berry, Mick Preston, Jenna Dwyer","Fight Like a Girl","Daniel Armstrong",26,"90 min "
"Action, Drama, Family","2015","Lana Baric, Vojislav Brajovic, Natasa Janjic","Ti mene nosis","Ivona Juka",27,"155 min "
"Action, Adventure","2015","Clive Owen, Morgan Freeman, Aksel Hennie","Last Knights","Kazuaki Kiriya",28,"115 min "
"Action, Crime, Drama","2015","Anton Yelchin, Chris Marquette, Vincent D'Onofrio","Broken Horses","Vidhu Vinod Chopra",29,"101 min "
"Action, Crime, Drama","2015","Sean Penn, Idris Elba, Jasmine Trinca","The Gunman","Pierre Morel",30,"115 min "
"Action, Adventure, Thriller","2015","David A. Lockhart, Lina Bubisa, Vanessa Angel","Lockhart","Rocky Collins",31,"106 min "
"Action, Adventure, Horror","2015","Dan Rickard, Chris Wandell, Samantha Bolter","Darkest Day","Dan Rickard",32,"90 min "
"Action, Adventure, History","2015","Prabhas, Rana Daggubati, Anushka Shetty","Baahubali: The Beginning","S.S. Rajamouli",33,"159 min "
"Action, Crime, Drama","2015","Chris Hemsworth, Viola Davis, Wei Tang","Blackhat","Michael Mann",34,"133 min "
"Action","2015","Dominic Purcell, Cody Hackman, Stephen Lang","Gridlocked","Allan Ungar",35,"110 min "
"Action","2015","Fionnuala Collins, Ciaran Davies, Peter Cosgrove","Grainne Uaile-The Movie","Ciaran Davies",36,"180 min "
"Action","2015","Bill Oberst Jr., Sarah Nicklin, Glenda Galeano","A Darker Fifty Shades: The Fetish Set","Shane Wheeler",37,"82 min "
"Action, Adventure, Family","2015","Caon Mortenson, Garrett Coffey, Taylor Coliee","Battle for Skyark","Simon Hung",38,"88 min "
"Action","2015","Jalal Merhi, Loren Avedon, Elise Muller","Risk Factor","Frank A. Caruso",39,"95 min "
"Action, Crime, Mystery","2015","Hans Hernke, Adam Barnett, Cameron Bigelow","Hidden Agenda","Aaron Warren",40,"91 min "
"Action, Sci-Fi","2015","Alain Terzoli, Amy Pemberton, Darren Jacobs","Doomsday","Neil Johnson",41,"95 min "
"Action, Biography, History","2015","Anushka Shetty, Allu Arjun, Rana Daggubati","Rudhramadevi","Gunasekhar",42,"157 min "
"Action, Mystery, Thriller","2015","Tim Abell, Aleisha Force, Tom Stedham","Subconscious","Georgia Hilton",43,"122 min "
"Action, Crime, Drama","2015","Kaya Scodelario, Ed Skrein, Dougray Scott","Tiger House","Thomas Daley",44,"80 min "
"Action, Crime, Drama","2015","Amin Joseph, Bai Ling, Chris Mulkey","Call Me King","R.L. Scott",45,"118 min "
"Action, Crime, Drama","2015","Jim Sturgess, Sam Worthington, Ryan Kwanten","Kidnapping Mr. Heineken","Daniel Alfredson",46,"95 min "
"Action, Horror, Thriller","2015","Sherri Eakin, Jeremy Sande, Jeremy Ivy","Hayride 2","Terron R. Parsons",47,"92 min "
"Action","2015","John Schneider, Tommy 'Tiny' Lister, James Russo","American Justice","Demetrius Navarro",48,"83 min "
"Action","2015","","Assassin's Game","Anoop Rangi",49,"83 min "
"Action","2015","Wilbert Jackson, Ambyr Pruitt, Geoff Brown","The Minnesota Delivery","Timothy Christian",50,"93 min "
"Action, Drama, Romance","2015","Ranbir Kapoor, Jacqueline Fernandez, Arjun Rampal","Roy","Vikramjit Singh",51,"146 min "
"Action, Comedy, Mystery","2015","Johnny Depp, Gwyneth Paltrow, Ewan McGregor","Mortdecai","David Koepp",52,"107 min "
"Action, Drama, History","2015","Byung-hun Lee, Do-yeon Jeon, Go-eun Kim","Memories of the Sword","Heung-Sik Park",53,"120 min "
"Action, Comedy, Romance","2015","Brett Goldstein, Catherine Tate, Natalia Tena","SuperBob","Jon Drever",54,"82 min "
"Action, Crime, Horror","2015","Maiara Walsh, Tony Todd, Danny Trejo","VANish","Bryan Bockbrader",55,"79 min "
"Action, Adventure, Sci-Fi","2015","Sharlto Copley, Haley Bennett, Danila Kozlovsky","Hardcore","Ilya Naishuller",56,"90 min "
"Action","2015","Daniel Girace, David Francis Calderazzo, Kim Parshley","Pain","Steve Rahaman",57,"98 min "
"Action, Adventure, Comedy","2015","Jordan Kessler, Ted Beck, Dave Shalansky","Midnight Sex Run","Ted Beck",58,"100 min "
"Action, Crime","2015","Mickey Rourke, Daryl Hannah, Eric Roberts","Skin Traffik","Ara Paiaya",59,"97 min "
"Action, Family","2015","Phillip Rhee, Mirelly Taylor, Max Gail","Underdog Kids","Phillip Rhee",60,"94 min "
"Action, Comedy, Crime","2015","Anil Kapoor, Nana Patekar, Dimple Kapadia","Welcome Back","Anees Bazmee",61,"152 min "
"Action, Thriller","2015","Olga Kurylenko, James Purefoy, Morgan Freeman","Momentum","Stephen S. Campanelli",62,"96 min "
"Action, Crime, Drama","2015","Tony Jaa, Andy On, Wu Jing","SPL 2: A Time for Consequences","Pou-Soi Cheang",63,"120 min "
"Action, Thriller, Western","2015","Kodi Smit-McPhee, Michael Fassbender, Ben Mendelsohn","Slow West","John Maclean",64,"84 min "
"Action","2015","Dexter Fletcher, April Pearson, Philip Davis","Age of Kill","Neil Jones",65,"86 min "
"Action, Drama, Sport","2015","Martin Santander, Manny Hernandez, Carlos Palomino","Callejero","Ray Gallardo",66,"105 min "
"Action, Crime, Thriller","2015","Dylan McDermott, Royce Pierreson, Ben Starr","Survivor","James McTeigue",67,"96 min "
"Action, Adventure, Drama","2015","Valeri Alessandro, Elisa Allara, Lucia Allara","Richard the Lionheart: Rebellion","Stefano Milla",68,"96 min "
"Action, Sci-Fi","2015","Eric Roberts, Rib Hillis, Casey Fitzgerald","Cowboys vs Dinosaurs","Ari Novak",69,"89 min "
"Action, Comedy, Drama","2015","Udo Kier, Kristian Howard, Martina Kratka","Zero","Gyula Nemes",70,"83 min "
"Action, Thriller","2015","Luke Goss, Danny Trejo, Chasty Ballesteros","The Night Crew","Christian Sesma",71,"89 min "
"Action, Horror, Thriller","2015","Daryl Hannah, Edward Furlong, Vinnie Jones","Awaken","Mark Atkins",72,"89 min "
"Action, Drama, War","2015","Brett Cullen, Cody Kasch, Gilles Marini","The Last Rescue","Eric Colley",73,"107 min "
"Action","2015","Rebecca Chalon, Adam T Perkins, Korum Ellis","Zombie Ninjas vs Black Ops","Rody Claude",74,"94 min "
"Action, Drama, Romance","2015","Arjun Kapoor, Sonakshi Sinha, Manoj Bajpayee","Tevar","Amit Sharma",75,"157 min "
"Action","2015","Gene Rush, Cisco Davis Jr., Soni Aralynn","Zordon of Eltar","Cisco Davis Jr.",76,"50 min "
"Action, Horror, Thriller","2015","Ry Barrett, Tianna Nori, Jessica Vano","The Demolisher","Gabriel Carrer",77,"85 min "
"Action, Comedy, Crime","2015","Rob Lowe, Burt Reynolds, Noel Gugliemi","Pocket Listing","Conor Allyn",78,"92 min "
"Action, Mystery, Thriller","2015","Sushant Singh Rajput, Anand Tiwari, Divya Menon","Detective Byomkesh Bakshy!","Dibakar Banerjee",79,"139 min "
"Action, Crime, Thriller","2015","","Jalaibee","Yasir Jaswal",80,"117 min "
"Action, Drama, Thriller","2015","Saif Ali Khan, Katrina Kaif, Sabyasachi Chakraborty","Phantom","Kabir Khan",81,"136 min "
"Action, Horror, Sci-Fi","2015","Houston Baker, James Carolus, Todd Carpenter","Jurassic Prey","Mark Polonia",82,"87 min "
"Action, Drama","2015","Shawn Alli, James Tackett, Shaker Sangam","In Dangerous Minds","Hussain Ahmed",83,"90 min "
"Action, Adventure, Fantasy","2015","Ian Grieve, Liam Brennan, Andy Gray","Time Teens: The Beginning","Ryan Alexander Dewar",84,"119 min "
"Action, Adventure, Fantasy","2015","Melanie Stone, Adam Johnson, Jake Stormoen","Mythica: The Darkspore","Anne K. Black",85,"108 min "
"Action, Sci-Fi","2015","Mark Hapka, Jessica Rothe, Eric Jungmann","Parallels","Christopher Leone",86,"83 min "
"Action, Adventure, Sci-Fi","2015","Thomas Jane, Bruce Willis, Ambyr Childers","Vice","Brian A Miller",87,"96 min "
"Action, Thriller","2015","Jean-Claude Van Damme, Darren Shahlavi, Charlotte Peters","Pound of Flesh","Ernie Barbarash",88,"104 min "
"Action, Sci-Fi","2015","Ethan McDowell, Morgan Obenreder, Joshua Marble","Rz-9","Iain Carson",89,"90 min "
"Action, Adventure, Crime","2015","Steven Seagal, Byron Mann, Howard Dell","Mercenary: Absolution","Keoni Waxman",90,"96 min "
"Action, Drama","2015","Qi Shu, Chen Chang, Satoshi Tsumabuki","The Assassin","Hsiao-Hsien Hou",91,"107 min "
"Action, Thriller","2015","Tom Sizemore, Mischa Barton, Timothy Woodward Jr.","SWAT: Unit 887","Timothy Woodward Jr.",92,"96 min "
"Action","2015","Mickey Rourke, Freida Pinto, Ryan Kwanten","Blunt Force Trauma","Ken Sanzel",93,"97 min "
"Action, Drama","2015","Danny Trejo, Danny Glover, John Amos","Bad Ass 3: Bad Asses on the Bayou","Craig Moss",94,"85 min "
"Action, Drama, War","2015","","Wolf Warrior","Wu Jing",95,"90 min "
"Action, Drama, Romance","2015","","Empire of Lust","Sang-hoon Ahn",96,"113 min "
"Action, Crime, Thriller","2015","Vinnie Jones, Michael Rene Walton, Vivica A. Fox","6 Ways To Die","Nadeem Soumah",97,"103 min "
"Action, Horror, Romance","2015","Tina Grimm, Tempast Wulf, Mel Heflin","Katherine","Charles W. Bailey",98,"80 min "
"Action","2015","Thea Camara, Salvatore Covello, Harold Dennis","Hood","Michael Lansu",99,"100 min "
"Action, History","2015","","Monk Comes Down the Mountain","Kaige Chen",100,"123 min "
"Action, Crime, Fantasy","2015","Jacky Cheung, Nick Cheung, Shawn Yue","Helios","Lok Man Leung",101,"118 min "
"Action, Drama, Thriller","2015","Kristoffer Joner, Thomas Bo Larsen, Ane Dahl Torp","The Wave","Roar Uthaug",102,"104 min "
"Action, Thriller","2015","","Bhaag Johnny","Shivam Nair",103,"118 min "
"Action, Sci-Fi, Thriller","2015","Matthijs van de Sande Bakhuyzen, Ella-June Henrard, Tygo Gernandt","Boy 7","Lourens Blok",104,"90 min "
"Action","2015","Stanley Weber, Edward Akrout, Misa Beric","Sword of Vengeance","Jim Weedon",105,"87 min "
"Action, Adventure, Drama","2015","Jackie Chan, John Cusack, Adrien Brody","Dragon Blade","Daniel Lee",106,"127 min "
"Action, Crime, Drama","2015","Nawazuddin Siddiqui, Varun Dhawan, Radhika Apte","Badlapur","Sriram Raghavan",107,"128 min "
"Action, Crime, Drama","2015","Min-ho Lee, Rae-won Kim, Jin-young Jung","Gangnam Blues","Ha Yoo",108,"135 min "
"Action, Comedy, Sport","2015","Ekin Cheng, Ronald Cheng, Josie Ho","Full Strike","Chi-kin Kwok",109,"108 min "
"Action, Drama, Thriller","2015","Henry Adofo, Michael Attram, Alphonse Menyo","Freetown","Garrett Batty",110,"113 min "
"Action, Drama","2015","Dean Cain, Paul Wight, Michael Eklund","Vendetta","Jen Soska",111,"90 min "
"Action, War","2015","Luke Goss, Dolph Lundgren, Chuck Liddell","War Pigs","Ryan Little",112,"91 min "
"Action, Comedy, Fantasy","2015","Wei Tang, Baihe Bai, Eric Tsang","Monster Hunt","Raman Hui",113,"111 min "
"Action, Crime, Thriller","2015","Danny Glover, Sean Astin, Vinnie Jones","Checkmate","Timothy Woodward Jr.",114,"102 min "
"Action, Crime, Thriller","2015","Louis Koo, Shawn Yue, Liya Tong","Wild City","Ringo Lam",115,"120 min "
"Action, Drama, Sport","2015","Akshay Kumar, Jackie Shroff, Sidharth Malhotra","Brothers","Karan Malhotra",116,"156 min "
"Action, Drama, Thriller","2015","Fernando Alves Pinto, Mayana Neiva, Lourinelson Vladmir","To My Beloved","Aly Muritiba",117,"123 min "
"Action, Comedy, Horror","2015","Ryan LaPlante, Alysa King, Michael Rawley","Holy Hell","Ryan LaPlante",118,"89 min "
"Action, Crime, Thriller","2015","Akshay Kumar, Danny Denzongpa, Rana Daggubati","Baby","Neeraj Pandey",119,"159 min "
"Action, Drama, Thriller","2015","Ving Rhames, Luke Goss, Mischa Barton","Operator","Amariah Olson",120,"88 min "
"Action, Comedy, Sci-Fi","2015","Alan Ritchson, Alexandria DeBerry, Irina Voronina","Lazer Team","Matt Hullum",121,"90 min "
"Action, Biography, Drama","2015","Veselin Plachkov, Simeon Filipov, Maxim Genchev","Levski","Maxim Genchev",122,"130 min "
"Action, Sport","2015","Kherington Payne, John Tui, Kelvin Taylor","Born to Dance","Tammy Davis",123,"96 min "
"Action, Crime, Thriller","2015","Jonathan Good, Roger R. Cross, Daniel Cudmore","12 Rounds 3: Lockdown","Stephen Reynolds",124,"90 min "
"Action, Comedy, Sci-Fi","2015","Brian Reilly, Mike Delisle, Doug White","Rod the Stormtrooper: Episode V - The Hidden Darkness","Brad Schinkel",125,"60 min "
"Action, Comedy, Sci-Fi","2015","Brian Reilly, Mike Delisle, Doug White","Rod the Stormtrooper: Episode V - The Hidden Darkness","Brad Schinkel",126,"60 min "
"Action, Crime, Thriller","2015","Prometheus Aleifer, Yannis Stankoglou, Takis Spiridakis","The Republic","Dimitris Tzetzas",127,"112 min "
"Action, Thriller","2015","Derek Theler, Erica Cerra, Paul du Toit","Shark Killer","Sheldon Wilson",128,"88 min "
"Action","2015","Tsuyoshi Ihara, Renji Ishibashi, Yuina Kuroshima","Strayer's Chronicle","Takahisa Zeze",129,"126 min "
"Action, Adventure, Thriller","2015","Scott Eastwood, Walton Goggins, Camilla Belle","Diablo","Lawrence Roeck",130,"90 min "
"Action, Fantasy, Thriller","2015","Peter Brooke, James Caan, Noel Clarke","The Throwaways","Tony Bui",131,"90 min "
"Action, Comedy, Drama","2015","Saint Gurmeet Ram Rahim Singh Ji Insan, Daniel Kaleb, Fllora Saini","MSG: The Messenger","Jeetu Arora",132,"197 min "
"Action, Thriller","2015","Nandha, Nataraja Subramanian, Sanam Shetty","Katham Katham","Babu Thooyavan",133,"143 min "
"Action","2015","Asami, Kirara Asuka, Hiroaki Iwanaga","Iron Girl: Ultimate Weapon","Ken'ichi Fujiwara",134,"83 min "
"Action, Adventure, Comedy","2015","Ian Hecox, Anthony Padilla, Michael Ian Black","Smosh: The Movie","Alex Winter",135,"84 min "
"Action, Drama, History","2015","Lesya Andreeva, Mariya Antonova, Mariya Aronova","Batalon","Dmitriy Meskhiev",136,"120 min "
"Animation, Action, Sci-Fi","2015","","Aoki Hagane no Arpeggio: Ars Nova DC","Mai Fuchigami",137,"105 min "
"Action, Drama","2015","Jean Reno, Alban Lenoir, Caterina Murino","Antigang","Benjamin Rocher",138,"90 min "
"Action, Drama, Mystery","2015","Ajith Kumar, Arun Vijay, Trisha Krishnan","If You Know Me","Gautham Menon",139,"168 min "
"Action, Adventure, Fantasy","2015","Casper Van Dien, Lauren Parkinson, Lou Ferrigno","Avengers Grimm","Jeremy M. Inman",140,"86 min "
"Action, Comedy","2015","Pak-Cheung Chan, Nick Cheung, David Chiang","From Vegas to Macau II","Jing Wong",141,"109 min "
"Action, Drama","2015","Dara Ours, Savin Phillip, Ma Rynet","Hanuman","Jimmy Henderson",142,"112 min "
"Action, Comedy","2015","Arya, Krishna Sekhar, Deepa Sannidhi","Yatchan","Vishnuvardhan",143,"147 min "
"Action, Adventure, Drama","2015","Dave Allen, Ben Ash, Bob Bolyard","Elixir","Matthew Lipke",144,"90 min "
"Action, Thriller","2015","Michael Jai White, Max Ryan, Steve Austin","Chain of Command","Kevin Carraway",145,"88 min "
"Action, Comedy","2015","Ronald Cheng, Mark Wu, Ava Liu","Undercover Duet","Mark Wu",146,"114 min "
"Action, Comedy","2015","Tosh Zhang, Rajid Ahamed, Joey Leong","Ah Boys to Men 3: Frogmen","Jack Neo",147,"148 min "
"Action","2015","Siva Karthikeyan, Prabhu, Sri Divya","Kaaki Sattai","R.S. Durai Senthilkumar",148,"156 min "
"Action, Comedy, Romance","2015","Tanikella Bharani, Brahmanandam, Pankaj Kesari","Shivam","Sreenivasa Reddy",149,"168 min "
"Action","2015","Jai, Andrea Jeremiah, Bala Saravanan","Valiyavan","M. Saravanan",150,"140 min "
"Action, Drama","2015","Junior N.T.R., Kajal Agarwal, Ali","Temper","Puri Jagannadh",151,"147 min "
"Action, Drama","2015","Shanmugapandian, Neha Hinge, Shubra Aaiyappa","Sagaptham","Surendran",152,"155 min "
"Action, Crime, News","2015","Arya, Shaam, Vijay Sethupathi","Purampokku","S.P. Jhananathan",153,"159 min "
"Action, Drama, Romance","2015","Sooraj Pancholi, Athiya Shetty, Tigmanshu Dhulia","Hero","Nikhil Advani",154,"145 min "
"Animation, Action, Drama","2015","Karen Strassman","Mobile Suit Gundam: The Origin I - Blue-Eyed Casval","Takashi Imanishi",155,"64 min "
"Action, Horror, Sci-Fi","2015","Corin Nemec, Yancy Butler, Skye Lourie","Lake Placid vs. Anaconda","A.B. Stone",156,"92 min "
"Action, Thriller, Western","2015","Johnny Messner, Dolph Lundgren, Danny Trejo","4Got10","Timothy Woodward Jr.",157,"84 min "
"Action, Crime, Drama","2015","Brandi Wethington, Abbey Hunt, Chris Overson","Far Too Far","Justin Hunt",158,"117 min "
"Action, Adventure, Fantasy","2015","Max Aria, Jacqui Holland, Preston James Hillier","God of Thunder","Thomas Shapiro",159,"91 min "
"Action, Sci-Fi","2015","Chloe Farnworth, Cole Parker, John Freeman","Road Wars","Mark Atkins",160,"90 min "
"Action, Drama","2015","Francis Ng, Simon Yam, Leo Ku","Two Thumbs Up","Ho Leung Lau",161,"103 min "
"Action","2015","Karthi, Lakshmi Menon, Raj Kiran","Komban","M. Muthaiah",162,"136 min "
"Action, Horror, Sci-Fi","2015","Illeana Douglas, Amy Rider, Brody Hutzler","Mega Shark vs. Kolossus","Christopher Ray",163,"89 min "
"Action, Horror, Sci-Fi","2015","Graham Skipper, Lauren Ashley Carter, John Speredakos","The Mind's Eye","Joe Begos",164,"87 min "
"Action, Crime, Drama","2015","Jesse Birdsall, Chris Bell, Ross Boatman","Essex Boys: Law of Survival","Steven M. Smith",165,"88 min "
"Action, Adventure, Sci-Fi","2015","Faran Tahir, Robbie Kay, Aqueela Zoll","Flight World War II","Emile Edwin Smith",166,"85 min "
"Action, Comedy","2015","Andrius Gecevicius, Sonata Paliulyte, Arnas Petkevicius","Problem Solver","Marius Pocevicius",167,"75 min "
"Action, Thriller","2015","Mohanlal, Amala Paul","Lailaa O Lailaa","Joshiy",168,"168 min "
"Action, Drama, Romance","2015","Ali, Radhika Apte, Archana","Lion","Satya Deva",169,"143 min "
"Action, Sci-Fi, Thriller","2015","Julian Boote, Adam Collins, Helen Crevel","KillerSaurus","Steve Lawson",170,"75 min "
"Action","2015","Xiaogang Feng, Yifeng Li, Kris Wu","Mr. Six","Hu Guan",171,"134 min "
"Action, Crime, Drama","2015","Omkar Das Manikpuri, Amann Grewal, Vishal Om Prakash","India's Daughter","Rupesh Paul",172,"110 min "
"Action, Drama, Thriller","2015","Alain Garneau, Ha-seok Jo, Moon Jong-won","Angry Painter","Kyu-hwan Jeon",173,"105 min "
"Action, Drama","2015","Jagapathi Babu, Mahesh Babu, Shruti K. Haasan","Srimanthudu","Koratalla Siva",174,"158 min "
"Action, Comedy","2015","","Traukinio apiplesimas kuri ivykde Saulius ir Paulius","Simonas Askelavicius",175,"100 min "
"Action, Crime, Thriller","2015","Unni Mukundan, Devan, K.C. Shankar","Samrajyam II: Son of Alexander","Perarasu",176,"115 min "
"Action, Crime, Drama","2015","Koneenica Banerjee, Arindam Sil, Sankar Debnath","Kader Kuler Bou","Soubhik Kundu",177,"167 min "
"Action, Comedy, Crime","2015","Jeong-min Hwang, Ah In Yoo, Hae-jin Yoo","Veteran","Seung-wan Ryoo",178,"123 min "
"Action, Horror","2015","Jennie Russo, Trey Harrison, Michael Merchant","She Kills","Ron Bonk",179,"141 min "
"Action, Crime, Drama","2015","Andy Lau, Ye Liu, Qianyuan Wang","Jie jiu wu xian sheng","Sheng Ding",180,"105 min "
"Action","2015","","Agnee 2","Iftakar Chowdhury",181,"150 min "
"Action, Mystery, Thriller","2015","Upendra, Kristina Akheeva, Parul Yadav","Uppi 2","Upendra",182,"135 min "
"Action","2015","","Who Am I 2015","Yinxi Song",183,"102 min "
"Action","2015","","Who Am I 2015","Yinxi Song",184,"102 min "
"Action, Comedy, Drama","2015","Dhanush, Kajal Agarwal, Vijay Yesudas","Maari","Balaji Mohan",185,"138 min "
"Action, Horror, Thriller","2015","Nina Ivanisin, Lotos Sparovec, Nika Rozman","Idyll","Tomaz Gorkic",186,"83 min "
"Action, Drama, Romance","2015","","Chandi Veeran","A. Sarkunam",187,"115 min "
"Action, Comedy, Thriller","2015","Prithviraj Sukumaran, Indrajith, Arya","Double Barrel","Lijo Jose Pellissery",188,"158 min "
"Action, History","2015","John Arcilla, Mon Confiado, Arron Villaflor","Heneral Luna","Jerrold Tarog",189,"118 min "
"Action, Comedy, Romance","2015","Tanikella Bharani, Brahmanandam, Nikitin Dheer","Kick 2","Reddy Surender",190,"170 min "
"Action, Crime, Thriller","2015","Vijay, Kajal Agarwal, Vidyut Jamwal","Indian Soldier Never on Holiday","A.R. Murugadoss",191,"133 min "
"Action","2015","Gippy Grewal, Kainaat Arora, Jaggi Singh","Faraar","Baljit Singh Deo",192,"148 min "
"Action, Thriller","2015","Jeyam Ravi, Nayanthara, Arvind Swamy","Thani Oruvan","M. Raja",193,"160 min "
"Action","2015","Vishal, Kajal Agarwal, Samuthirakani","Paayum Puli","Suseenthiran",194,"135 min "
"Action, Crime, Thriller","2015","Moe Golkar, James Sirois, Anant Khehra","Far Out","Bijan Karim",195,"114 min "
"Action, Crime, Thriller","2015","Moe Golkar, James Sirois, Anant Khehra","Far Out","Bijan Karim",196,"114 min "
"Action, Horror, Thriller","2015","Sergey A., Krolik Black, Eldar Bogunov","Jaws 19","Sergey A.",197,"63 min "
"Action, Comedy, Drama","2014","Ajay Devgn, Shahid Kapoor, Prabhas","Action Jackson","Prabhudheva",198,"144 min "
"Action, Thriller","2014","Blanche Baker, Bo Svenson, Christopher Mann","Jersey Justice","John Charles Hunt",199,"100 min "
"Action, Drama, Fantasy","2014","Luke Evans, Dominic Cooper, Sarah Gadon","Dracula Untold","Gary Shore",200,"92 min "
"Action, Adventure, Sci-Fi","2014","Aaron Taylor-Johnson, Elizabeth Olsen, Bryan Cranston","Godzilla","Gareth Edwards",201,"123 min "
"Action, Adventure, Fantasy","2014","Kellan Lutz, Gaia Weiss, Scott Adkins","The Legend of Hercules","Renny Harlin",202,"99 min "
"Action, Thriller","2014","Jason Patric, Bruce Willis, John Cusack","The Prince","Brian A Miller",203,"93 min "
"Action, Adventure, Fantasy","2014","Ben Barnes, Julianne Moore, Jeff Bridges","Seventh Son","Sergey Bodrov",204,"102 min "
"Action, Thriller","2014","Shawn Dou, Michelle Chen, Siu Lung Sik","Urban Games","Bob Brown",205,"89 min "
"Action, Drama","2014","Salman Khan, Tabu, Sunil Shetty","Jai Ho","Sohail Khan",206,"135 min "
"Action, Thriller","2014","Chris Pine, Kevin Costner, Keira Knightley","Jack Ryan: Shadow Recruit","Kenneth Branagh",207,"105 min "
"Action, Drama, Fantasy","2014","Sullivan Stapleton, Eva Green, Lena Headey","300: Rise of an Empire","Noam Murro",208,"102 min "
"Action, Adventure","2014","Dwayne Johnson, John Hurt, Ian McShane","Hercules","Brett Ratner",209,"98 min "
"Action, Drama, War","2014","Adam Gregory, Timothy S. Shoemaker, Michael Todd Behrens","Saints and Soldiers: The Void","Ryan Little",210,"94 min "
"Action, Adventure, Comedy","2014","Megan Fox, Will Arnett, William Fichtner","Teenage Mutant Ninja Turtles","Jonathan Liebesman",211,"101 min "
"Action, Drama","2014","Nikola Rakocevic, Boris Isakovic, Khetanya Henderson","Travelator","Dusan Milic",212,"99 min "
"Action, Crime, Drama","2014","Ryan Dunlap, Marisa Draeger, Tim Russ","Greyscale","Ryan Dunlap",213,"105 min "
"Action, Crime, Thriller","2014","James Franco, Kate Hudson, Tom Wilkinson","Good People","Henrik Ruben Genz",214,"90 min "
"Action, Crime, Drama","2014","Justin Chon, Kevin Wu, Harry Shum Jr.","Revenge of the Green Dragons","Wai-Keung Lau",215,"94 min "
"Action, Horror","2014","Lucas Till, Stephen McHattie, John Pyper-Ferguson","Wolves","David Hayter",216,"91 min "
"Action, Adventure, Fantasy","2014","Patrick Stewart, Isaac C. Singleton Jr., Sadie Alexandru","Sinbad: The Fifth Voyage","Shahin Sean Solimon",217,"89 min "
