id,name,address,city,state,zipcode,phone,rating,reviews,ranking
5023,Laristos,606 E 75th St,Chicago,IL,60619,(773) 651-2862,0,0,0
5024,Las 3 Rosas,3253 W Cermak Rd,Chicago,IL,60623,(773) 277-4606,0,0,0
5025,Las Asadas,2045 N Western Ave,Chicago,IL,60647,(773) 235-5538,0,0,0
5026,Las Asadas Restaurant,3243 N Pulaski Rd,Chicago,IL,60641,(773) 283-8832,0,0,0
5027,Las Asadas Restaurant,3834 W 47th St,Chicago,IL,60632,(773) 847-1000,0,0,0
5028,Las Brissas,3207 W 51st St,Chicago,IL,60632,(773) 434-5040,0,0,0
5029,Las Cazuela Grille,4720 S Pulaski Rd,Chicago,IL,60632,(773) 254-5770,0,0,0
5030,Las Cazuelas,4821 N Elston Ave,Chicago,IL,60630,(773) 777-5304,0,0,0
5031,Las Fuentes Restaurant,2558 N Halsted St,Chicago,IL,60614,(773) 935-2004,0,0,0
5032,Las Islas Maria's Two,2523 N Milwaukee Ave,Chicago,IL,60647,(773) 252-7303,0,0,0
5033,Las Islas Marias,2400 S Pulaski Rd,Chicago,IL,60623,(773) 522-1300,0,0,0
5034,Las Islas Marias,4770 W Grand Av,Chicago,IL,60639,(773) 920-3896<br>,4,1,0
5035,Las Islas Marias,4781 S Archer Ave,Chicago,IL,60632,(773) 869-9100,0,0,0
5036,Las Islas Marias,5401 S Pulaski Rd,Chicago,IL,60632,(773) 767-0908,0,0,0
5037,Las Islas Marias,6550 W Fullerton Ave,Chicago,IL,60707,(773) 622-8970,0,0,0
5038,Las Islas Marias,6635 N Clark St,Chicago,IL,60626,(773) 973-4752,0,0,0
5039,Las Mananitas Mexican Restaurant,3523 N Halsted St,Chicago,IL,60657,(773) 528-2109,0,0,0
5040,Las Maravillas Restaurant Inc,4316 S Pulaski Rd,Chicago,IL,60632,(773) 523-8426,0,0,0
5041,Las Merchant Services,3401 W Belmont Ave,Chicago,IL,60618,(773) 267-3017,0,0,0
5042,Las Merchant Services,3735 N Clark St,Chicago,IL,60613,(773) 296-2427,0,0,0
5043,Las Palmas Restaurant of Chicago Inc,1835 W North Ave,Chicago,IL,60622,(773) 289-4991,0,0,0
5044,Las Picosas,6430 S Pulaski Rd,Chicago,IL,60629,(773) 735-1954,0,0,0
5045,Las Pinatas Mexican Food,1552 N Wells St,Chicago,IL,60610,(312) 664-8277,0,0,0
5046,Las Tablas,4920 W Irving Park Rd,Chicago,IL,60641,(773) 202-0999,0,0,0
5047,Lasalle Cafe,712 N La Salle Dr,Chicago,IL,60654,(312) 951-5001,0,0,0
5048,Last Chance,3701 W Fullerton Ave,Chicago,IL,60647,(773) 278-8333,0,0,0
5049,Late Night Thai,1650 W Belmont Ave,Chicago,IL,60657,(773) 327-9945,0,0,0
5050,Latin American Restaurant,2743 W Division St,Chicago,IL,60622,(773) 235-7290,0,0,0
5051,Latin Sandwich Cafe,4009 N Elston Ave,Chicago,IL,60618,(773) 478-0175,0,0,0
5052,Latzararacua,1813 S Ashland Ave,Chicago,IL,60608,(312) 633-9225,0,0,0
5053,Laurie's Pizzeria & Liquors,5153 N Broadway St,Chicago,IL,60640,(773) 561-3100,0,0,0
5054,Laurie's Pizzeria & Liquors,5153 N Bway,Chicago,IL,60640,(773) 561-3100,0,0,0
5055,Laurie's Pizzeria & Liquors,5155 N Broadway St,Chicago,IL,60640,(773) 784-4949,0,0,0
5056,Lavazza Cofee Cafe,162 E Ohio St,Chicago,IL,60611,(312) 255-8850,0,0,0
5057,Lavilla Restaurant & Pizzeria,3632 N Pulaski Rd,Chicago,IL,60641,(773) 283-7980,5,2,0
5058,Lawlor's Bar,6854 W Archer Ave,Chicago,IL,60638,(773) 229-2277,0,0,0
5059,Lawrence Restaurant,1020 W Lawrence Ave Ste 1,Chicago,IL,60640,(773) 561-5803,0,0,0
5060,Lawrence's Fisheries,2120 S Canal,Chicago,IL,60616,(312) 429-7218<br>,5,2,0
5061,Lawry's The Prime Rib,100 E Ontario Chicago,Chicago,IL,60611,(312) 787-5000,0,0,0
5062,Lawry's The Prime Rib,100 E Ontario St,Chicago,IL,60611,(312) 787-1264,0,0,0
5063,Lazio Pizza,3107 W 71st St,Chicago,IL,60629,(773) 434-7800,0,0,0
5064,Lazo Tacos,2009 N Western Ave,Chicago,IL,60647,(773) 486-3303,0,0,0
5065,Le Bar,20 E Chestnut St,Chicago,IL,60611,(312) 324-4000,0,0,0
5066,Le Colonial,937 N Rush St,Chicago,IL,60611,(312) 255-0088,0,0,0
5067,Le Fleur De Lis,301 E 43rd St,Chicago,IL,60653,(773) 268-8770,5,1,0
5068,Lebordeaux North,900 N Franklin St,Chicago,IL,60610,(312) 335-5454,0,0,0
5069,Lebouchon,1958 N Damen Ave,Chicago,IL,60647,(773) 862-6600,0,0,0
5070,Lee Lee Kitchen,4240 W North Ave,Chicago,IL,60639,(773) 342-2811,0,0,0
5071,Lee Sea Food Company,3055 W Lawrence Ave,Chicago,IL,60625,(773) 866-2980,0,0,0
5072,Lee Wing Wah,2147 S China Pl,Chicago,IL,60616,(312) 808-1628,0,0,0
5073,Lee's Chop Suey,2415 W Diversey Ave,Chicago,IL,60647,(773) 342-7050,0,0,0
5074,Lee's Unleaded Blues,7401 S South Chicago Ave,Chicago,IL,60619,(773) 493-3477,0,0,0
5075,Lee's Wok,1437 W Montrose Ave,Chicago,IL,60613,(773) 388-9978,0,0,0
5076,Lees Wok,5808 W North Ave,Chicago,IL,60639,(773) 637-8863,0,0,0
5077,Legee Rice and Noodles Restaurant,1810 W Montrose Ave,Chicago,IL,60613,(773) 334-6589,0,0,0
5078,Lem's Bar-B-Q House,311 E 75Th St,Chicago,IL,60619,(877) 504-2096<br>,5,2,0
5079,Lemmings On Damen,1850 N Damen Ave,Chicago,IL,60647,(773) 862-1688,0,0,0
5080,Lena's Pizza,5851 W 63rd St,Chicago,IL,60638,(773) 767-8400,0,0,0
5081,Lenore's Kitchen,2447 W Lithuanian Plaza Ct,Chicago,IL,60629,(773) 925-6699,0,0,0
5082,Leo High School Cafeteria,901 W 79th St,Chicago,IL,60620,(773) 483-2232,0,0,0
5083,Leo's Coney Island of Chicago,3455 N Southport Ave,Chicago,IL,60657,(773) 281-5367,0,0,0
5084,Leon's Barbecue,4550 S Archer Ave,Chicago,IL,60632,(773) 247-4360,0,0,0
5085,Leona's Pizza,1236 E 53rd St,Chicago,IL,60615,(773) 363-2600,0,0,0
5086,Leona's Pizza,1936 W Augusta Blvd,Chicago,IL,60622,(773) 292-4300,0,0,0
5087,Leona's Pizza,3215 N Sheffield Ave,Chicago,IL,60657,(773) 327-8861,0,0,0
5088,Leona's Pizza,3877 N Elston Ave,Chicago,IL,60618,(773) 267-7287,0,0,0
5089,Leona's Pizza,6935 N Sheridan Rd,Chicago,IL,60626,(773) 764-5757,0,0,0
5090,Leona's Pizza,9156 S Stony Island Ave,Chicago,IL,60617,(773) 374-9100,0,0,0
5091,Leona's Restaurants Beverly,11050 S Western Ave,Chicago,IL,60643,(773) 881-7700,0,0,0
5092,Leona's Restaurants Inc.,3931 S Leavitt St,Chicago,IL,60609,(773) 305-5555,0,0,0
5093,Leonardo's Ristorante Tuscan Bistro,5657 N Clark St,Chicago,IL,60660,(773) 561-5028,0,0,0
5094,Leonas Pizzeria,11060 S Western Ave,Chicago,IL,60643,(773) 881-7700,0,0,0
5095,Leonas Pizzeria,3931 S Leavitt St,Chicago,IL,60609,(773) 843-0050,0,0,0
5096,Leonas Pizzeria,646 N Franklin St,Chicago,IL,60654,(312) 467-4287,0,0,0
5097,Leonas Pizzeria,7545 N Clark St,Chicago,IL,60626,(773) 262-3645,0,0,0
5098,Lepeep Grill,1000 W Washington Blvd,Chicago,IL,60607,(312) 563-9990,0,0,0
5099,Lepetit Paris,260 E Chestnut St,Chicago,IL,60611,(312) 787-8260,0,0,0
5100,Lesebre Restaurant,1969 W Montrose Ave,Chicago,IL,60613,(773) 549-3269,0,0,0
5101,Lets Go Diner,1393 N Milwaukee Ave,Chicago,IL,60622,(773) 276-5922,5,1,0
5102,Lettuce Entertain You Ent,5419 N Sheridan Rd Ste 116,Chicago,IL,60640,(773) 878-7340,0,0,0
5103,Lettuce Mix,2470 N Clark St,Chicago,IL,60614,(773) 525-2244,0,0,0
5104,Leung Choice China Wok,10341 S Halsted St,Chicago,IL,60628,(773) 298-9988,0,0,0
5105,Leung's Chop Suey,5713 W Irving Park Rd Ste 1,Chicago,IL,60634,(773) 545-4188,0,0,0
5106,Levy Restaurant,321 N La Salle Dr,Chicago,IL,60654,(312) 421-5389,0,0,0
5107,LG Restaurant,7464 S Exchange Ave,Chicago,IL,60649,(773) 731-5399,0,0,0
5108,Liang's Kitchen,2109 S Wabash Ave Ste G,Chicago,IL,60616,(312) 674-9688,0,0,0
5109,Liars Club,1665 W Fullerton Ave,Chicago,IL,60614,(773) 665-1110,0,0,0
5110,Lido Inc,5504 N Milwaukee Ave,Chicago,IL,60630,(773) 763-1408,5,1,0
5111,Life's A Slice,2804 N Western Ave,Chicago,IL,60618,(773) 486-2600,0,0,0
5112,Like IT Used to Be Soul Food,1255 W 79th St,Chicago,IL,60620,(773) 723-4894,0,0,0
5113,Liliw-M3 Oriental Store,4315 N Kedzie Ave,Chicago,IL,60618,(773) 588-3799,0,0,0
5114,Limerick Bar & Broil,3101 N Sheffield Ave,Chicago,IL,60657,(773) 883-4400,0,0,0
5115,Lina's Pizza,3132 S Morgan St,Chicago,IL,60608,(773) 247-7778,0,0,0
5116,Lincoln Noraebang Restaurant,5526 N Lincoln Ave,Chicago,IL,60625,(773) 728-6500,0,0,0
5117,Lincoln Park Pizza,2245 N Lincoln Ave,Chicago,IL,60614,(773) 244-9484,0,0,0
5118,Lincoln Park's Noodle House,2428 N Ashland Ave,Chicago,IL,60614,(773) 248-6680,0,0,0
5119,Lincoln Restaurant,4008 N Lincoln Ave,Chicago,IL,60618,(773) 248-1820,0,0,0
5120,Lincoln Station,2432 N Lincoln Ave Ste 1,Chicago,IL,60614,(773) 472-8100,0,0,0
5121,Lincoln Tavern & Restaurant,1858 W Wabansia Ave,Chicago,IL,60622,(773) 342-7778,0,0,0
5122,Linda's Closet,4404 N Milwaukee Ave,Chicago,IL,60630,(773) 777-2048,0,0,0
5123,Lindo Poncitlan,4406 W Armitage Av,Chicago,IL,60639,(773) 772-2372,0,0,0
5124,Lindo Poncitlan,4406 W Armitage Ave,Chicago,IL,60639,(773) 772-2372,0,0,0
5125,Lindy's -Gertie's,11009 S Kedzie Av,Chicago,IL,60655,(773) 779-7236,0,0,0
5126,Lindy's Chili,6544 W Archer Ave,Chicago,IL,60638,(773) 229-1512,4,1,0
5127,Lindy's Chili Inc,3685 S Archer Ave,Chicago,IL,60609,(773) 927-7807,0,0,0
5128,Lino's,1518 W Chicago Ave,Chicago,IL,60642,(312) 929-3615,0,0,0
5129,Lion Head Pub,2251 N Lincoln Ave,Chicago,IL,60614,(773) 348-5100,0,0,0
5130,Liquor Companies,747 N La Salle Dr Ste 500,Chicago,IL,60654,(312) 643-0440,0,0,0
5131,Lito's Empanadas,2566 N Clark St,Chicago,IL,60614,(773) 857-0794,0,0,0
5132,Lito's Empanadas,2566 N Clark St,Chicago,IL,60614,(773) 857-1337,0,0,0
5133,Little Branch Cafe,1251 S Prairie Ave,Chicago,IL,60605,(312) 360-0101,0,0,0
5134,Little Caesars Pizza,10259 S Western Ave,Chicago,IL,60643,(773) 445-6600,0,0,0
5135,Little Caesars Pizza,1360 N Ashland Ave,Chicago,IL,60622,(773) 292-9718,0,0,0
5136,Little Caesars Pizza,1406 W 47th St,Chicago,IL,60609,(773) 376-8796,0,0,0
5137,Little Caesars Pizza,2024 E 95th St,Chicago,IL,60617,(773) 731-6220,0,0,0
5138,Little Caesars Pizza,2501 W Lawrence Ave,Chicago,IL,60625,(773) 989-4700,0,0,0
5139,Little Caesars Pizza,2601 W Cermak Rd,Chicago,IL,60608,(773) 254-7001,0,0,0
5140,Little Caesars Pizza,2820 N Cicero Ave,Chicago,IL,60641,(773) 725-2400,0,0,0
5141,Little Caesars Pizza,2833 N Narragansett Ave,Chicago,IL,60634,(773) 385-6424,0,0,0
5142,Little Caesars Pizza,2906 W 63rd St,Chicago,IL,60629,(773) 434-4625,0,0,0
5143,Little Caesars Pizza,3010 S Halsted St,Chicago,IL,60608,(312) 842-1230,0,0,0
5144,Little Caesars Pizza,3135 W Addison St,Chicago,IL,60618,(773) 267-6366,0,0,0
5145,Little Caesars Pizza,3225 W 47th Pl,Chicago,IL,60632,(773) 254-6868,0,0,0
5146,Little Caesars Pizza,3337 W North Ave,Chicago,IL,60647,(773) 772-7547,0,0,0
5147,Little Caesars Pizza,3443 W Addison St,Chicago,IL,60618,(773) 478-9081,0,0,0
5148,Little Caesars Pizza,4445 N Pulaski Rd Ste A,Chicago,IL,60630,(773) 539-8505,0,0,0
5149,Little Caesars Pizza,4810 W Diversey Ave,Chicago,IL,60639,(773) 725-2400,0,0,0
5150,Little Caesars Pizza,5050 S Kedzie Ave,Chicago,IL,60632,(773) 476-7672,0,0,0
5151,Little Caesars Pizza,5433 W Chicago Ave,Chicago,IL,60651,(773) 287-3811,0,0,0
5152,Little Caesars Pizza,5601 S Harlem Ave,Chicago,IL,60638,(773) 229-8078,0,0,0
5153,Little Caesars Pizza,5608 W Irving Park Rd,Chicago,IL,60634,(773) 777-1917,0,0,0
5154,Little Caesars Pizza,5640 W Roosevelt Rd,Chicago,IL,60644,(773) 287-9751,0,0,0
5155,Little Caesars Pizza,609 E 79th St,Chicago,IL,60619,(773) 783-9714,0,0,0
5156,Little Caesars Pizza,6928 S Pulaski Rd,Chicago,IL,60629,(773) 767-6645,0,0,0
5157,Little Caesars Pizza,7001 N Clark St,Chicago,IL,60626,(773) 465-8267,0,0,0
5158,Little Caesars Pizza,7050 S Pulaski Rd,Chicago,IL,60629,(773) 767-7180,0,0,0
5159,Little Caesars Pizza,7902 S Exchange Ave,Chicago,IL,60617,(773) 731-2618,0,0,0
5160,Little Caesars Pizza,7963 S Cicero Ave,Chicago,IL,60652,(773) 735-1583,0,0,0
5161,Little Caesars Pizza,800 N Kedzie Ave,Chicago,IL,60651,(773) 826-0944,0,0,0
5162,Little Clown Pizza,2801 N Central Park Ave,Chicago,IL,60618,(773) 276-7776,0,0,0
5163,Little Denny's,3007 W 63rd St,Chicago,IL,60629,(773) 776-9571,0,0,0
5164,Little Mexican Cafe,1055 W Bryn Mawr Ave Ste C,Chicago,IL,60660,(773) 769-1004,0,0,0
5165,Little Quiapo Restaurant,6259 N Mccormick Rd,Chicago,IL,60659,(773) 279-8861,0,0,0
5166,Little Wok Chinese Restaurant,103 E 51st St,Chicago,IL,60615,(773) 548-8855,0,0,0
5167,Lizard's Liquid Lounge,3058 W Irving Park Rd,Chicago,IL,60618,(773) 463-7599,0,0,0
5168,Lloyds,1 S Wacker Dr Lbby 4,Chicago,IL,60606,(312) 407-6900,0,0,0
5169,LM Le Restaurant,4539 N Lincoln Ave,Chicago,IL,60625,(773) 942-7585,0,0,0
5170,Lo's China Kitchen,2800 W Irving Park Rd Ste A,Chicago,IL,60618,(773) 583-2888,0,0,0
5171,Lobos Al Freso Taco,1732 N Milwaukee Ave,Chicago,IL,60647,(773) 486-3101,0,0,0
5172,Lockdown Bar and Grill,1024 N Western Ave,Chicago,IL,60622,(773) 687-8565,5,1,0
5173,Loco Sandwich Cafe Inc,3152 W Diversey Ave,Chicago,IL,60647,(773) 539-5626,0,0,0
5174,Logan Bar & Grill,2232 N California Ave,Chicago,IL,60647,(773) 252-1110,0,0,0
5175,Logan Square Pantry,2305 N Milwaukee Ave,Chicago,IL,60647,(773) 289-3801,0,0,0
5176,Lokal,1904 W North Ave,Chicago,IL,60622,(773) 697-8756,0,0,0
5177,Long John Silver's Seafood,1914 W 79th St,Chicago,IL,60620,(773) 846-0514,0,0,0
5178,Long John Silver's Seafood,4614 S Damen Ave,Chicago,IL,60609,(773) 847-7331,0,0,0
5179,Long John Silver's Seafood,6034 W North Ave,Chicago,IL,60639,(773) 745-7162,0,0,0
5180,Long Tung Chinese Restaurant,6237 S Halsted St,Chicago,IL,60621,(773) 488-9888,0,0,0
5181,Longman & Eagle LLC,2657 N Kedzie Ave,Chicago,IL,60647,(773) 276-7110,0,0,0
5182,Lonnie's Pizzeria,8343 W Irving Park Rd,Chicago,IL,60634,(773) 589-1501,0,0,0
5183,Lorees Restaurant,3232 W Foster Ave,Chicago,IL,60625,(773) 583-4978,0,0,0
5184,Lorraine's Dinner,1959 W Chicago Ave,Chicago,IL,60622,(312) 491-9230,0,0,0
5185,Los 2 Primos Restaurant,3552 N Pulaski Rd,Chicago,IL,60641,(773) 685-6583,0,0,0
5186,Los 4 Hermanos,5239 N Central Ave,Chicago,IL,60630,(773) 545-2294,0,0,0
5187,Los Alamos,1658 W Cermak Rd,Chicago,IL,60608,(312) 421-1565,0,0,0
5188,Los Altos,1848 W 47th St,Chicago,IL,60609,(773) 523-3121,0,0,0
5189,Los Amantes,4753 W 47th St,Chicago,IL,60632,(773) 581-2656,0,0,0
5190,Los Arcos,5525 N Clark St,Chicago,IL,60640,(773) 334-6450,0,0,0
5191,Los Arcos Pizzaria,6102 W Diversey Ave,Chicago,IL,60639,(773) 385-6539,0,0,0
5192,Los Candiles Restaurant,2624 S Central Park Ave,Chicago,IL,60623,(773) 522-8544,0,0,0
5193,Los Cantaritos,13343 S Baltimore Ave,Chicago,IL,60633,(773) 646-4015,0,0,0
5194,Los Comales,1544 W 18th St,Chicago,IL,60608,(312) 666-2251,0,0,0
5195,Los Corrales,2881 W Cermak Rd,Chicago,IL,60623,(773) 847-6998,0,0,0
5196,Los Delfines Inc,2750 W 63rd St,Chicago,IL,60629,(773) 737-4900,0,0,0
5197,Los Delfines Inc,5207 S Archer Ave,Chicago,IL,60632,(773) 767-4980,0,0,0
5198,Los Dos Gallos Brovos,3418 W Montrose Ave,Chicago,IL,60618,(773) 267-2533,0,0,0
5199,Los Dos Laredos Inc,3120 W 26th St,Chicago,IL,60623,(773) 376-3218,0,0,0
5200,Los Faroles,3149 W Lawrence Ave,Chicago,IL,60625,(773) 509-9890,0,0,0
5201,Los Gallos 2,4252 S Archer Ave,Chicago,IL,60632,(773) 254-2081,0,0,0
5202,Los Girasoles,3661 S Archer Ave,Chicago,IL,60609,(773) 847-0433,0,0,0
5203,Los Mangos Inc,4888 S Archer Ave,Chicago,IL,60632,(773) 247-6070,0,0,0
5204,Los Moles Rest,3140 N Lincoln Ave,Chicago,IL,60657,(773) 935-9620,0,0,0
5205,Los Moles Restaurant,3140 N Lincoln Av,Chicago,IL,60657,(773) 935-9620,0,0,0
5206,Los Moles',3140 N Lincoln Ave,Chicago,IL,60657,(773) 935-9620,0,0,0
5207,Los Nopales Mexican Restaurant,4544 N Western Ave,Chicago,IL,60625,(773) 334-3149,0,0,0
5208,Los Olivos,3400 W 31st St,Chicago,IL,60623,(773) 247-1002,5,1,0
5209,Los Panchos Restaurant,4147 W 63rd St,Chicago,IL,60629,(773) 581-0821,0,0,0
5210,Los Pinos Restaurant,3209 W Lawrence Ave,Chicago,IL,60625,(773) 463-2222,0,0,0
5211,Lospinos Inc,6243 N Western Ave,Chicago,IL,60659,(773) 274-6960,0,0,0
5212,Lotus Chop Suey,814 E 79th St,Chicago,IL,60619,(773) 488-2728,0,0,0
5213,Lou Malnati's Pizzeria,1520 N Damen Ave,Chicago,IL,60622,(773) 395-2400,0,0,0
5214,Lou Malnati's Pizzeria,3859 W Ogden Av,Chicago,IL,60623,(773) 762-0800,0,0,0
5215,Lou Malnati's Pizzeria,439 N Wells,Chicago,IL,60610,(312) 828-9800,5,1,0
5216,Lou Malnati's Pizzeria,805 S State St,Chicago,IL,60605,(312) 786-1000,0,0,0
5217,Lou Malnati's Pizzeria,958 W Wrightwood,Chicago,IL,60614,(773) 832-4030,0,0,0
5218,Lou Malnati's Pizzeria,Damen Ave,Chicago,IL,60623,(773) 395-2400,0,0,0
5219,Lou Mitchell's Restaurant,565 W Jackson Bl,Chicago,IL,60661,(312) 939-3111,0,0,0
5220,Lou Mitchell's Restaurant & Bakery,565 W Jackson Bl,Chicago,IL,60661,(312) 939-3111<br>,5,1,0
5221,Louie's Pub,1659 W North Ave,Chicago,IL,60622,(773) 227-7947,0,0,0
5222,Love's Chicago,770 N Halsted St Ste 825,Chicago,IL,60642,(312) 572-4444,0,0,0
5223,Luc Thang Noodle,1524 N Ashland Ave,Chicago,IL,60622,(773) 395-3907,0,0,0
5224,Lucia's Gourmet Italian Cuisine,1825 W North Ave Ste 1,Chicago,IL,60622,(773) 292-9700,0,0,0
5225,Lucias Gramma,6727 W Archer Ave,Chicago,IL,60638,(773) 424-8422,0,0,0
5226,Lucky Grill,4454 N Milwaukee Ave,Chicago,IL,60630,(773) 282-2325,0,0,0
5227,Lucky Grill,7779 W Talcott Ave,Chicago,IL,60631,(773) 631-9661,0,0,0
5228,Lucky Inn,5948 W Diversey Ave,Chicago,IL,60639,(773) 622-0404,0,0,0
5229,Lucky Number Grill,1931 N Milwaukee Ave,Chicago,IL,60647,(773) 235-7761,0,0,0
5230,Lucky Vito's Pizzeria,1950 N Kimball Ave,Chicago,IL,60647,(773) 278-0202,0,0,0
5231,Lucky Vito's Pizzeria,2171 N Milwaukee Ave,Chicago,IL,60647,(773) 292-0101,0,0,0
5232,Lucky's Sandwich Company,3472 N Clark St,Chicago,IL,60657,(773) 549-0665,0,0,0
5233,Lugano's Pizza,4460 S Kedzie Ave,Chicago,IL,60632,(773) 847-7170,0,0,0
5234,Lugano's Pizza,7315 S Kedzie Ave,Chicago,IL,60629,(773) 776-6959,0,0,0
5235,Luigi Stefani Pizzeria,5700 S Cicero Ave Ste 42,Chicago,IL,60638,(773) 838-8824,0,0,0
5236,Luigi's Pizza,4212 W Madison St,Chicago,IL,60624,(773) 722-0109,3,1,0
5237,Lukes Beef & Pizza on Harlem,3130 N Harlem Ave,Chicago,IL,60634,(773) 889-4000,5,1,0
5238,Lukes On Harlem,3130 N Harlem Av,Chicago,IL,60634,(773) 889-4000,0,0,0
5239,Lula Cafe,2537 N Kedzie Blvd,Chicago,IL,60647,(773) 489-9554,0,0,0
5240,Lula's Grill & Pizza,1858 W Pershing Rd,Chicago,IL,60609,(773) 523-0553,0,0,0
5241,Lulu's Hot Dogs,1000 S Leavitt St,Chicago,IL,60612,(312) 243-3444,0,0,0
5242,Lulu's Restaurant,3011 W Cermak Rd,Chicago,IL,60623,(773) 277-0189,0,0,0
5243,Lume's Pancake House,11601 S Western Ave,Chicago,IL,60643,(773) 233-2323,0,0,0
5244,Luna Caprese,2239 N Clybourn Ave,Chicago,IL,60614,(773) 281-4825,0,0,0
5245,Lundy's Market and Cafe,1009 E 53rd St,Chicago,IL,60615,(773) 363-6022,0,0,0
5246,Lupo's Famous Philly Cheese Steak,7059 S Halsted St,Chicago,IL,60621,(773) 488-5876,0,0,0
5247,Lutnia Restaurant,5532 W Belmont Ave,Chicago,IL,60641,(773) 282-5335,0,0,0
5248,Luzzat,1505 W Jarvis Ave,Chicago,IL,60626,(773) 764-1065,0,0,0
5249,M & D's Deli,6345 S Central Ave,Chicago,IL,60638,(773) 767-3354,0,0,0
5250,M & M Chicken Koop,3529 W 5th Ave,Chicago,IL,60624,(773) 265-1090,0,0,0
5251,M Henry Cafe,5707 N Clark St Ste 4,Chicago,IL,60660,(773) 561-1600,0,0,0
5252,M K Restaurant,868 N Franklin St,Chicago,IL,60610,(312) 482-9179,0,0,0
5253,MA & I,1234 S Michigan Ave,Chicago,IL,60605,(312) 663-1234,0,0,0
5254,Mac Kelly's Greens & Things,123 W Madison St,Chicago,IL,60602,(312) 214-6401,0,0,0
5255,Mac's Pizza,3152 N Broadway St,Chicago,IL,60657,(773) 404-7252,0,0,0
5256,MacArthur's Restaurant,5412 W Madison St,Chicago,IL,60644,(773) 261-2316,0,0,0
5257,Macello Ristorante,1235 W Lake,Chicago,IL,60607,(312) 850-9870,0,0,0
5258,Macho Taco,1723 N Ashland Ave,Chicago,IL,60622,(773) 278-8030,0,0,0
5259,Mack's Red Hot,3750 W Chicago Ave,Chicago,IL,60651,(773) 235-7777,0,0,0
5260,Macku,2239 N Clybourn Ave,Chicago,IL,60614,(773) 880-8012,0,0,0
5261,Macondo,2965 N Lincoln Ave,Chicago,IL,60657,(773) 698-6847,0,0,0
5262,Mad River Bar & Grille,2909 N Sheffield Ave,Chicago,IL,60657,(773) 935-7500,0,0,0
5263,Madison Street Cafe,70 W Madison St,Chicago,IL,60602,(312) 223-7700,0,0,0
5264,Mado Restaurant,1647 N Milwaukee Ave,Chicago,IL,60647,(773) 342-2340,0,0,0
5265,Maeve,1325 W Wrightwood Ave Ste 4,Chicago,IL,60614,(773) 388-3333,0,0,0
5266,Maggiano's Little Italy,516 N Clark,Chicago,IL,60654,(312) 644-7700,0,0,0
5267,Maggie Gyros & Chicken,349 E 47th St,Chicago,IL,60653,(773) 924-1110,0,0,0
5268,Maggiolini's Pizzeria Trattoria,5723 W 63rd St,Chicago,IL,60638,(773) 585-6144,0,0,0
5269,Magic Grill,3336 W Lawrence Ave,Chicago,IL,60625,(773) 539-5223,0,0,0
5270,Magic Restauraunt,3335 W 111th St,Chicago,IL,60655,(773) 233-9270,0,0,0
