"id","name","address","city","state","zipcode","phone","rating","reviews","ranking"
70,"A'Capella Bistro","1301 S. Michigan","Chicago","IL",," 312-922-0601",5,1,7
71,"Abbey Pub","3420 W. Grace St.","Chicago","IL",," 773-463-5808",4,8,3
72,"Abbey Pub","3420 W. Grace St.","Chicago","IL",," 877-435-9849",4,8,3
73,"Abiquiu Cafe","1034 W. Belmont Ave.","Chicago","IL",," 773-577-3917",0,0,4
74,"Abuelo's Mexican Grill","2007 S. Damen Ave.","Chicago","IL",," 312-733-0329",5,4,5
75,"Abyssinia Restaurant","5842 N. Broadway","Chicago","IL",," 773-271-7133",0,0,6
76,"Accanto","2171 N. Milwaukee","Chicago","IL",," 773-227-2727",0,0,8
77,"Acre","5308 N. Clark","Chicago","IL",," 773-334-7600",1,1,9
78,"Act One Cafe","1330 W. Morse","Chicago","IL",," 773-381-4550",0,0,10
79,"Ada's Famous Deli & Restaurant","14 S. Wabash Ave.","Chicago","IL",," 312-214-4282",3,8,12
80,"Adam's Rib Ale House","301 N. Milwaukee Ave.","Chicago","IL",," 847-279-1700",0,0,11
81,"Addis Abeba","1322 Chicago Ave.","Chicago","IL",," 847-328-5411",3,2,13
82,"Adesso","3332 N. Broadway","Chicago","IL",," 773-868-1516",2,7,14
83,"Admiral Theatre Gentlemen's Club","3940 W. Lawrence Ave.","Chicago","IL",," 773-478-8111",0,0,0
84,"Adobo Grill","1610 N. Wells St.","Chicago","IL",," 312-266-7999",3,50,1
85,"Adobo Grill","2005 W. Division St.","Chicago","IL",," 773-252-9990",4,6,2
86,"Afghan Kabob","4040 W. Montrose Ave.","Chicago","IL",," 773-427-5041",0,0,3
87,"AFRICAN NIGHT","Irsh American Heritage Center - 4626 North Knox Avenue, Chicago, IL, 60630","Chicago","IL",," 708-915-0974",5,1,4
88,"Agami","4712 N. Broadway","Chicago","IL",," 773-506-1845",3,8,5
89,"Ai Sushi","358 W. Ontario St.","Chicago","IL",," 312-335-9888",0,0,6
90,"Ain't She Sweet Cafe","526 E. 43rd St.","Chicago","IL",," 773-373-3530",0,0,7
91,"Aja","660 N. State St.","Chicago","IL",," 312-202-6050",0,0,8
92,"Akai Hana","3223 W. Lake St.","Chicago","IL",," 847-251-0384",3,14,9
93,"Aki Sushi","2015 W. Division St.","Chicago","IL",," 773-227-8080",5,1,10
94,"Al di La","1600 16th St.","Chicago","IL",," 630-368-9900",5,1,12
95,"Al Habib Grill","2435 W. Devon Ave.","Chicago","IL",," 773-465-2272",0,0,13
96,"Al Primo Canto","5414 W. Devon Ave.","Chicago","IL",," 773-631-0100",4,1,0
97,"Al Primo Canto","749 N. Clark","Chicago","IL",," 312-280-9090",0,0,1
98,"Al's #1 Italian Beef","1079 W. Taylor St.","Chicago","IL",," 312-226-4017",0,0,10
99,"Al's Deli","914 Noyes St.","Chicago","IL",," 847-475-9400",3,7,11
100,"Al-Khaymeih","4748 N. Kedzie Ave.","Chicago","IL",," 773-583-0999",3,3,14
101,"Aladdin's","614 W. Diversey Pkwy.","Chicago","IL",," 773-327-6300",3,9,2
102,"Alfredo's","826 N. Ashland Ave.","Chicago","IL",," 312-733-9873",0,0,3
103,"Alhambra Palace","1240 W. Randolph St.","Chicago","IL",," 312-666-9555",2,1,4
104,"Alinea","1723 N. Halsted St.","Chicago","IL",," 312-867-0110",4,13,5
105,"Alliance Bakery","1736 W. Division St.","Chicago","IL",," 773-278-0366",3,3,6
106,"Alma Pita","1254 W. Wilson Ave.","Chicago","IL",," 773-561-2787",3,2,7
107,"Aloha Eats","2534 N. Clark St.","Chicago","IL",," 773-935-6828",5,2,8
108,"Alps East","2012 W. Irving Park Rd.","Chicago","IL",," 773-975-0527",3,2,9
109,"Always Thai","1825 W. Irving Park Rd.","Chicago","IL",," 773-929-0100",3,10,12
110,"Amarind's Thai Restaurant","6822 W. North Ave.","Chicago","IL",," 773-889-9999",3,17,13
111,"Amarit","600 S. Dearborn St.","Chicago","IL",," 312-939-1179",2,3,14
112,"Amato's Pizzeria","935 W. Willow St.","Chicago","IL",," 312-640-1299",0,0,0
113,"Ambassador","7050 W. Belmont Ave.","Chicago","IL",," 773-286-9337",0,0,1
114,"Ambrosia Cafe","1963 N. Sheffield Ave.","Chicago","IL",," 773-404-4450",0,0,2
115,"Ameer Kabob","1050 N. Milwaukee Ave.","Chicago","IL",," 773-489-8888",0,0,3
116,"Amelia's Bar & Grill","4559 S. Halsted St.","Chicago","IL",," 773-538-8200",4,1,4
117,"Amitabul","6207 N. Milwaukee Ave.","Chicago","IL",," 773-774-0276",3,15,5
118,"Andalous","3307 N. Clark St.","Chicago","IL",," 773-281-6885",3,11,6
119,"Andies Restaurant","1467 W. Montrose Ave.","Chicago","IL",," 773-348-0654",3,13,7
120,"Andies Restaurant","5253 N. Clark St.","Chicago","IL",," 773-784-8616",3,31,8
121,"Andrzej Grill","1022 N. Western Ave.","Chicago","IL",," 773-489-3566",5,1,9
122,"Andy's","11 E. Hubbard St.","Chicago","IL",," 312-642-6805",0,0,10
123,"Andy's Frozen Custard","108 N. State St. #24","Chicago","IL",," 312-422-9800",0,0,12
124,"Andy's Frozen Custard","719 Church St.","Chicago","IL",," 847-864-8009",0,0,11
125,"Angel Food Bakery","1636 W. Montrose Ave.","Chicago","IL",," 773-728-1512",4,5,13
126,"Angelina Ristorante","3561 N. Broadway","Chicago","IL",," 773-935-5933",3,22,14
127,"Angelis","1478 E. Chicago Ave.","Chicago","IL",," 630-420-1370",3,2,0
128,"Angels & Mariachis","1721 W. Division St.","Chicago","IL",," 773-227-7772",3,2,1
129,"Anh Linh Seafood","1032 W. Argyle St.","Chicago","IL",," 773-506-4848",0,0,2
130,"Anjin Mamiri","2739 W. Touhy Ave.","Chicago","IL",," 773-262-6646",0,0,3
131,"Ann Sather","5207 N. Clark St.","Chicago","IL",," 773-271-6677",3,10,5
132,"Ann Sather","909 W. Belmont Ave.","Chicago","IL",," 773-348-2378",3,14,4
133,"Ann Sather Caf?","3411 N. Broadway","Chicago","IL",," 773-305-0024",3,3,7
134,"Ann Sather Caf?","3416 N. Southport Ave.","Chicago","IL",," 773-404-4475",3,3,6
135,"Anna Held","5557 N. Sheridan Rd.","Chicago","IL",," 773-561-1940",0,0,8
136,"Anna Maria Pasteria","4400 N. Clark St.","Chicago","IL",," 773-506-2662",3,10,9
137,"Annette's Broasters to Go","1433 W. Montrose Ave.","Chicago","IL",," 773-477-8646",0,0,10
138,"Anong Thai","2532 N. California Ave.","Chicago","IL",," 773-276-8424",3,3,11
139,"Anteprima","5316 N. Clark St.","Chicago","IL",," 773-506-9990",4,10,12
140,"Antica Pizzeria","5663 N. Clark St.","Chicago","IL",," 773-944-1492",2,3,13
141,"Antico Posto","118 Oakbrook Ctr.","Chicago","IL",," 630-586-9200",3,4,14
142,"Apart Pizza","2205 W. Montrose Ave.","Chicago","IL",," 773-588-1550",4,5,0
143,"Apart Pizza","5626 N. Broadway","Chicago","IL",," 773-784-1550",0,0,1
144,"Aquarius Lounge","2459 N. Pulaski Rd.","Chicago","IL",," 773-342-3581",0,0,2
145,"Aquitaine","2221 N. Lincoln Ave.","Chicago","IL",," 773-698-8456",5,1,3
146,"Ara-On","190 S. LaSalle St.","Chicago","IL",," 312-781-7300",3,3,4
147,"Arami","1829 W. Chicago Ave.","Chicago","IL",," 312-243-1535",5,1,5
148,"Arco de Cuchilleros","3445 N. Halsted St.","Chicago","IL",," 773-296-6046",3,12,6
149,"Argo Bakery","2812 W. Devon Ave.","Chicago","IL",," 773-764-6322",0,0,7
150,"Argo Tea","16 W. Randolph St.","Chicago","IL",," 312-553-1551",4,1,8
151,"Argo Tea","2 N. State St.","Chicago","IL",," 312-212-8032",0,0,9
152,"Argo Tea","5758 S. Maryland Ave.","Chicago","IL",," 773-409-4646",0,0,11
153,"Argo Tea","958 W. Armitage Ave.","Chicago","IL",," 773-388-1880",3,1,10
154,"Aria","200 N. Columbus Dr.","Chicago","IL",," 312-444-9494",4,12,12
155,"Aria Bar","200 N. Columbus Dr.","Chicago","IL",," 312-444-9494",0,0,13
156,"Aripo's Venezuelan Arepa House","118 N. Marion St.","Chicago","IL",," 708-386-1313",3,1,14
157,"Arkadash Cafe","5721 N. Clark St.","Chicago","IL",," 773-506-2233",0,0,0
158,"Armand's Pizzeria Express","4159 N. Western Ave.","Chicago","IL",," 773-463-5200",0,0,1
159,"Armitage Shrimp House","3054 W. Armitage Ave.","Chicago","IL",," 773-486-1584",0,0,2
160,"Army & Lou's","422 E. 75th St.","Chicago","IL",," 773-483-3100",4,2,3
161,"Aroy Thai","4656 N. Damen Ave.","Chicago","IL",," 773-275-8360",3,3,4
162,"Art of Pizza","3033 N. Ashland Ave.","Chicago","IL",," 773-327-5600",4,7,5
163,"Artemio's Bakery","1443 N. Milwaukee Ave.","Chicago","IL",," 773-342-0757",0,0,6
164,"Artists' Restaurant","412 S. Michigan Ave.","Chicago","IL",," 312-939-7855",3,2,7
165,"Artopolis Bakery & Cafe","306 S. Halsted St.","Chicago","IL",," 312-559-9000",3,24,8
166,"Arturo's Tacos","2001 N. Western Ave.","Chicago","IL",," 773-772-4944",4,2,9
167,"Arun's","4156 N. Kedzie Ave.","Chicago","IL",," 773-539-1909",4,24,10
168,"Arya Bhavan","2508 W. Devon Ave.","Chicago","IL",," 773-274-5800",3,17,11
169,"Asado Coffee Company","1432 W. Irving Park Rd.","Chicago","IL",," 773-661-6530",5,1,12
170,"Ashkenaz Delicatessen","12 E. Cedar St.","Chicago","IL",," 312-944-5006",0,0,13
171,"Asia Noodles","6352 W. Irving Park Rd.","Chicago","IL",," 773-777-1477",0,0,0
172,"Asian Avenue","1624 W. Belmont Ave.","Chicago","IL",," 773-549-2201",0,0,1
173,"Athena","212 S. Halsted St.","Chicago","IL",," 312-655-0000",3,12,2
174,"Athenian Room","807 W. Webster Ave.","Chicago","IL",," 773-348-5155",3,11,3
175,"Atlas Cafe","3028 W. Armitage Ave.","Chicago","IL",," 773-227-0022",0,0,5
176,"Atomix","1957 W. Chicago Ave.","Chicago","IL",," 312-666-2649",0,0,6
177,"Atwood Cafe","1 W. Washington Blvd.","Chicago","IL",," 312-368-1900",3,49,7
178,"Aurelio's","18162 Harwood Ave.","Chicago","IL",," 708-798-8050",0,0,8
179,"Austrian Bakery & Deli","2523 N. Clark St.","Chicago","IL",," 773-244-9922",0,0,9
180,"Avant-Garde","5241 N. Harlem Ave.","Chicago","IL",," 773-594-9742",0,0,10
181,"Avec","615 W. Randolph St.","Chicago","IL",," 312-377-2002",4,18,11
182,"Avenues","108 E. Superior St.","Chicago","IL",," 312-573-6754",4,10,12
183,"Avli Estiatorio","566 Chestnut St.","Chicago","IL",," 847-446-9300",0,0,13
184,"Ay Ay Picante","4569 N. Elston Ave.","Chicago","IL",," 773-427-4239",4,2,14
185,"Azha","960 W. Belmont Ave.","Chicago","IL",," 773-525-0555",4,1,0
186,"Azucar","2647 N. Kedzie Ave.","Chicago","IL",," 773-486-6464",3,2,1
187,"Ba Le Sandwich Shop","5016 N. Broadway","Chicago","IL",," 773-561-4424",0,0,2
188,"Baba Pita","1032 W. Lake St.","Chicago","IL",," 312-243-3439",0,0,3
189,"Baba's Village","310A  S. Canal St.","Chicago","IL",," 312-880-0010",0,0,4
190,"Babylon Eatery","2023 N. Damen Ave.","Chicago","IL",," 773-342-7482",4,2,5
191,"Bacchanalia","2413 S. Oakley Ave.","Chicago","IL",," 773-254-6555",3,4,6
192,"Bacino's","75 E. Wacker Dr.","Chicago","IL",," 312-263-0070",3,2,7
193,"Bacino's of Lincoln Park","2204 N. Lincoln Ave.","Chicago","IL",," 773-472-7400",3,5,8
194,"Backstage Bistro","180 N. Wabash Ave.","Chicago","IL",," 312-475-6920",3,2,9
195,"Backstory Cafe","6100 S. Blackstone","Chicago","IL",," 773-324-9987",0,0,10
196,"Bad Dog Tavern","4535 N. Lincoln Ave.","Chicago","IL",," 773-334-4040",3,20,12
197,"Bagel on Damen","1252 N. Damen Ave.","Chicago","IL",," 773-772-2243",0,0,14
198,"Bagel on Damen","4639 N. Damen Ave.","Chicago","IL",," 773-878-8523",0,0,13
199,"Baghdad  Kabab","3200 W. Lawrence Ave.","Chicago","IL",," 773-267-0333",0,0,11
200,"Baghdad Kabab","3200 W. Lawrence","Chicago","IL",," 773-267-0333",0,0,1
201,"Bahama Breeze","406 E. Golf Rd.","Chicago","IL",," 847-884-7060",2,3,2
202,"Baisi Thai","900 N. Michigan Ave.","Chicago","IL",," 312-642-5030",3,7,3
203,"Bake","2246 W. North Ave.","Chicago","IL",," 773-389-7655",5,1,4
204,"Bakery La Luna","3309 W. Armitage Ave.","Chicago","IL",," 773-772-1861",0,0,6
205,"Bakin' & Eggs","3120 N. Lincoln Ave.","Chicago","IL",," 773-525-7005",0,0,7
206,"Baladna","4835 N. Kedzie Ave.","Chicago","IL",," 773-583-6695",0,0,8
207,"Baladoche","2905 N. Clark St.","Chicago","IL",," 773-880-5090",0,0,9
208,"Balkan Restaurant","2321 W. Lawrence Ave.","Chicago","IL",," 773-878-7764",0,0,10
209,"Balsan","11 E. Walton St.","Chicago","IL",," 312-646-1400",0,0,11
210,"Bamboo Garden","3203 N. Clark St.","Chicago","IL",," 773-525-7600",0,0,12
211,"Bamee Noodle House","3120 N. Broadway","Chicago","IL",," 773-281-2641",2,8,13
212,"Bananas Foster Cafe","1147 W. Granville Ave.","Chicago","IL",," 773-262-9855",4,2,14
213,"Bandera","535 N. Michigan Ave.","Chicago","IL",," 312-644-3524",3,23,0
214,"Banderas Restaurant","5157 N. Lincoln Ave.","Chicago","IL",," 773-271-7930",4,1,1
215,"Bangers & Lace","1670 W. Division St.","Chicago","IL",," 773-252-6499",0,0,2
216,"Bank Lane Bistro","670 N. Bank Ln.","Chicago","IL",," 847-234-8802",4,2,3
217,"Bar Celona","3474 N. Clark St.","Chicago","IL",," 773-244-8000",2,5,4
218,"Bar DeVille","701 N. Damen Ave.","Chicago","IL",," 312-929-2349",0,0,5
219,"Bar Louie","1520 Sherman St.","Chicago","IL",," 847-733-8300",3,2,8
220,"Bar Louie","226 W. Chicago Ave.","Chicago","IL",," 312- 337-3313",3,4,10
221,"Bar Louie","3545 N. Clark St.","Chicago","IL",," 773-296-2500",3,3,7
222,"Bar Louie","47 W. Polk St.","Chicago","IL",," 312-347-0000",3,6,9
223,"Bar Louie","5500 S. Shore Dr.","Chicago","IL",," 773-363-5300",0,0,6
224,"Bar Novo","1 W. Wacker Dr.","Chicago","IL",," 312-372-7200",0,0,11
225,"Bar Vertigo","853 N. Western Ave.","Chicago","IL",," 773-395-3002",0,0,13
226,"Bar-B-Que Bob's","2055 W. Howard St.","Chicago","IL",," 773-761-1260",0,0,14
227,"Barba Yianni Grecian Taverna","4761 N. Lincoln Ave.","Chicago","IL",," 773-878-6400",3,10,0
228,"Barbara Ann's BBQ","7617 S. Cottage Grove Ave.","Chicago","IL",," 773-651-5300",4,1,1
229,"Barberry","2819 N. Southport Ave.","Chicago","IL",," 773-525-6695",3,1,2
230,"Barclay's American Grille","1120 Pleasant St.","Chicago","IL",," 708-848-4250",5,2,3
231,"Bari Foods","1120 W. Grand Ave.","Chicago","IL",," 312-666-0730",0,0,4
232,"Barista Coffeehouse","852 N. Damen Ave.","Chicago","IL",," 773-489-2010",0,0,5
233,"Barnelli's Pasta Bowl/Portillo's Hot Dogs","100 W. Ontario St.","Chicago","IL",," 312-587-8930",2,1,6
234,"Barrio Urban Taqueria","713 W. Diversey Ave.","Chicago","IL",,,0,0,7
235,"Basil Leaf Cafe","2465 N. Clark St.","Chicago","IL",," 773-935-3388",3,10,8
236,"Basilico","4701 N. Cumberland Ave.","Chicago","IL",," 708-452-6400",3,2,9
237,"Beachwood Inn","1415 N. Wood St.","Chicago","IL",," 773-486-9806",0,0,10
238,"Beans & Bagels","1812 W. Montrose Ave.","Chicago","IL",," 773-769-2000",3,2,11
239,"Beard Papa's","108 N. State St., suite 50","Chicago","IL",," 312-960-9000",4,1,12
240,"Beat Kitchen","2100 W. Belmont Ave.","Chicago","IL",," 773-281-4444",4,9,13
241,"Beat Kitchen","2100 W. Belmont Ave.","Chicago","IL",," 866-468-3401",4,9,13
242,"Beau's Bistro","1300 N. State St.","Chicago","IL",," 312-787-3700",0,0,14
243,"Beauty Bar","1444 W. Chicago Ave.","Chicago","IL",," 312-226-8828",4,4,0
244,"Beckett's Public House","3210 N. Lincoln Ave.","Chicago","IL",," 773-880-9620",0,0,1
245,"Beef 'n Brandy","127 S. State St.","Chicago","IL",," 312-372-3451",5,1,2
246,"Bel Ami","5530 N. Lincoln Ave.","Chicago","IL",," 773-878-2808",0,0,5
247,"Bella Bacinos","36 S. LaGrange Rd.","Chicago","IL",," (708) 352-8882",0,0,6
248,"Bella Luna","731 N. Dearborn St.","Chicago","IL",," 312-751-2552",3,3,7
249,"Bella Notte","1374 W. Grand Ave.","Chicago","IL",," 312-733-5136",3,4,8
250,"Bella's Pizza & Restaurant","658 N. Ashland Ave.","Chicago","IL",," 773-252-0505",0,0,9
251,"Bellezza Gelato Caffe","3637 N. Harlem Ave.","Chicago","IL",," 773-545-1239",0,0,10
252,"Belly Shack","1912 N. Western Ave.","Chicago","IL",," 773-252-1414",0,0,11
253,"Ben & Jerry's","1634 Orrington Ave.","Chicago","IL",," 847-869-2640",0,0,12
254,"Ben Pao","52 W. Illinois St.","Chicago","IL",," 312-222-1888",3,28,13
255,"Ben Tre Cafe","3146 W. Touhy Ave.","Chicago","IL",," 773-465-3011",4,1,14
256,"Ben's Noodles and Rice","1139 W. Bryn Mawr Ave.","Chicago","IL",," 773-907-8936",3,5,9
257,"Benchmark","1510 N. Wells St.","Chicago","IL",," 312-649-9640",0,0,0
258,"Benchwarmers","3551 N. Sheffield Ave.","Chicago","IL",," 773-327-7800",0,0,1
259,"Benihana","166 E. Superior St.","Chicago","IL",," 312-664-9643",4,1,2
260,"BenjYehuda","212 W. Van Buren St.","Chicago","IL",," 312-408-2365",0,0,3
261,"Bennigan's","150 S. Michigan Ave.","Chicago","IL",," 312-427-0570",2,2,4
262,"Bennison's Bakery","1000 Davis St.","Chicago","IL",," 847-328-9434",0,0,5
263,"Benny's Chop House","444 N. Wabash","Chicago","IL",," 312-626-2444",5,2,7
264,"Benny's Grill","1236 W. 18th St.","Chicago","IL",," 312-733-9601",2,1,6
265,"Benny's Pizza II","1244 W. 18th St.","Chicago","IL",," 312- 733-1231",0,0,8
266,"Bergstein's NY Delicatessen","200 Dixie Hwy.","Chicago","IL",," 708-754-6400",4,2,11
267,"Bernard's Bar at the Elysian Hotel","11 E. Walton St.","Chicago","IL",," 312-646-1300",0,0,12
268,"Berry Chill","635 N. State St.","Chicago","IL",," 312-266-2445",0,0,13
269,"Bertucci's Corner","300 W. 24th St.","Chicago","IL",," 312-225-2848",3,2,14
270,"Best Bar B Que","1648 W. 115th St.","Chicago","IL",," 773-239-1522",0,0,0
271,"Best Hunan","700 N. Milwaukee Ave.","Chicago","IL",," 847- 680-8855",2,2,1
272,"Betise","1515 Sheridan Rd.","Chicago","IL",," 847-853-1711",3,6,2
273,"Betty's Blue Star Lounge","1600 W. Grand Ave.","Chicago","IL",," 312-243-1699",4,2,3
274,"Between Boutique Cafe & Lounge","1324 N. Milwaukee Ave.","Chicago","IL",," 773-292-0585",2,1,4
275,"Bhabi's Kitchen","6352 N. Oakley Ave.","Chicago","IL",," 773-764-7007",3,12,5
276,"Big & Little's","939 N. Orleans St.","Chicago","IL",," 312-943-0000",0,0,6
277,"Big Bowl","1950 E. Higgins Rd.","Chicago","IL",," 847-517-8881",3,6,10
278,"Big Bowl","215 Parkway Dr.","Chicago","IL",," 847-808-8880",3,4,9
279,"Big Bowl","6 E. Cedar St.","Chicago","IL",," 312-640-8888",3,12,7
280,"Big Bowl","60 E. Ohio St.","Chicago","IL",," 312-951-1888",3,11,8
281,"Big Joe's","1818 W. Foster Ave.","Chicago","IL",," 773-784-8755",0,0,12
282,"Big Jones","5347 N. Clark St.","Chicago","IL",," 773-275-5725",4,2,13
283,"Big Ka Huu Na Hawaiian BBQ","822 Clark St.","Chicago","IL",," 847-475-1234",0,0,14
284,"Big Pho","3821 W. Lawrence Ave.","Chicago","IL",," 773-478-8282",0,0,0
285,"Big Poppa's Chicken and Ribs","14620 S. Halsted St.","Chicago","IL",," 708-596-7477",0,0,1
286,"Big Shots","2312 N. Lincoln Ave","Chicago","IL",," 773-472-7795",0,0,2
287,"Big Star","1531 N. Damen Ave.","Chicago","IL",," 773-235-4039",4,2,3
288,"Bijan's Bistro","663 N. State St.","Chicago","IL",," 312-202-1904",4,2,4
289,"Billy Goat Tavern","430 N. Michigan Ave.","Chicago","IL",," 312-222-1525",4,2,5
290,"Billy Goat Tavern II","309 W. Washington St.","Chicago","IL",," 312-899-1873",2,1,6
291,"Bin 36","339 N. Dearborn St.","Chicago","IL",," 312-755-9463",3,39,7
292,"Bin Wine Cafe","1559 N. Milwaukee Ave.","Chicago","IL",," 773-486-2233",4,5,8
293,"Biology Bar","1516 N. Fremont St.","Chicago","IL",," 312-266-1234",0,0,9
294,"Birchwood Kitchen","2211 W. North Ave.","Chicago","IL",," 773-276-2100",5,1,10
295,"Bird's Nest","2500 N. Southport Ave.","Chicago","IL",," 773-472-1502",0,0,11
